sequence	20181108-87YTipBS1	20181108-87YTipBS2	20181108-87YTipBS3	20181108-87YTipBS4	20181108-87YTsbBS1	20181108-87YTsbBS2	20181108-87YTsbBS3	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
blank-[<8].SDB3	0	6	14	0	55	91	92	-6.33480393397196	-8.46036581966391	1773.49352634423	211.694614454279	258.594742041066	787.629141385182	3.06653759159038	0.0131368891815142	0.0394106675445427
blank-[<8].SDB60	204	413	1341	1292	776	489	429	-4.46265542976279	-3.54180207995346	11531.7009726959	28961.0898290692	7737.21489694855	745.515033686024	-1.32851056115591	3.93483478989121e-05	0.000254250863346817
blank-[<8].SDB103	279	502	1501	2562	761	802	498	-4.23840117418023	-3.20808277233123	14430.6454974298	40434.060305689	12375.9943958452	3454.68503881467	-1.4864352488842	1.10737310088175e-05	7.75161170617227e-05
blank-[<8].SDB120	266	282	1253	1988	1027	341	643	-4.30056921831085	-3.48038479192307	13560.8377377133	30795.5588702693	8906.02588740523	4962.61612080209	-1.183276004564	0.000316467717138996	0.0017375717364081
blank-[<8].SDB174	202	15451	1712	9482	2645	5628	1123	-2.70765876508588	-0.927471040516552	66692.7675091604	395552.783494424	619277.693218851	54499.3305048887	-2.56826800208758	0.153474069375818	0.230211104063727
Gal-[110].SDB130	0	0	0	0	0	0	0	-12.5773544116213	-12.5773544116213	3.44924768982049	3.44924768982049	0	0	0	1	1
Gal-[1130].SDB10	245	113	529	748	1028	833	1147	-3.83419287014576	-4.17746484140132	21618.780593429	15337.3409132779	5245.07981244204	6838.41753980128	0.495236770606582	0.0997716622119271	0.171037135220446
bMan-[<8].SDB99	53	66	226	265	343	349	280	-4.97891677041435	-5.20478989771614	6881.51277985427	5490.20382412113	463.437090474858	1292.84346863304	0.325866040628378	0.302968265996431	0.41047313457581
bMan-[80].SDB89	2	49	149	76	179	30	96	-6.21116222327507	-6.00372844265865	2006.90363800037	2469.52749883805	1883.02693490799	1153.33924882057	-0.299263686608152	0.67577399455289	0.788402993645039
H-type1-[700].SDB59	109	31	277	272	688	706	311	-4.44680010493224	-5.0579153642526	11715.9970134094	6358.80149066158	2985.43079666294	4168.70002926256	0.881652954033064	0.0112740835565255	0.036423962259544
Ley-Di-Lex-[320].SDB40	0	0	0	0	0	0	0	-12.5773544116213	-12.5773544116213	3.44924768982049	3.44924768982049	0	0	0	1	1
H-type2-[240].SDB152	59	94	268	340	131	233	5	-5.98049377782297	-4.97758999164132	2527.57792212211	6890.6490845242	1137.18805832377	2635.93274638506	-1.44688431881303	0.171424020786694	0.252624872738286
2'FL-[160].SDB153	44	43	156	308	462	488	285	-4.7533907007509	-5.37962277847016	8622.4095711637	4609.56042750915	1387.60640886837	2232.17211614359	0.903461912971166	0.00630817411114594	0.0230385489276634
Di-N3-[160].SDB82	29	15	64	112	540	460	350	-4.66937942716331	-6.21806075249974	9378.08750794639	1993.10659895742	633.912870611575	1036.1546049258	2.23427486798021	2.9503383188417e-07	2.75364909758558e-06
A.tetra.type.1-[380].SDB106	35	27	141	54	77	0	0	-7.75557051155604	-5.97089485321177	428.349754983092	2551.95677022067	1076.15592189343	709.012480466534	-2.57474272188852	0.0288573876851776	0.0712947225163211
A.tetra.type.2-[1050].SDB24	135	67	367	532	988	568	597	-4.2201831424248	-4.63455769647435	14695.9528059955	9710.40103326752	2905.94734117488	1455.09450326	0.59781611419786	0.052031395074387	0.112769662329078
A.tetra.L-[890].SDB29	164	129	472	509	1217	859	483	-4.06453546638614	-4.40705356911933	17170.9639111347	12191.0455368811	1808.9760413119	4157.09794334614	0.494149168227866	0.0800951985909801	0.146260797427007
Tri-BN3-[840].SDB81	8	41	47	70	88	13	44	-6.96013915086442	-6.36655817829664	948.964516120339	1718.06232522854	1218.07191169104	575.024853299949	-0.856356325489591	0.352931867067473	0.463223075526058
B.tetra.type.1-[350].SDB105	144	205	1192	1152	113	118	115	-5.99944237296013	-3.83776195495854	2480.13478135826	21541.7588622485	7751.26539967655	602.679520884274	-3.11864561903767	6.93008232844384e-12	2.91063457794641e-10
LacDiNAc-[840].SDB34	35	17	234	175	443	277	202	-5.08253691729878	-5.60977244653692	6204.14961975779	3661.90254153529	1874.44302683523	956.971962311347	0.760640083412321	0.0671384363647843	0.12619446129239
B.tetra.type.2-[1000].SDB26	11	5	15	12	0	0	0	-12.5773544116213	-7.59801949823774	3.44924768982049	501.443560516887	326.479304333816	0	-7.1836617864638	0.00891985608218948	0.0299707164361567
Tri-AN3-[860].SDB80	38	29	89	78	211	48	309	-5.49124037932411	-6.01722895097101	4122.72725580452	2436.4116655865	727.012889864941	3467.5495258023	0.75884110387925	0.180214223358846	0.260999909692122
H3-[810].SDB77	772	955	3795	3650	491	512	594	-4.45749626818728	-2.50457284572597	11591.3486148631	81710.4935184144	11393.5274680829	3690.09541101483	-2.81747293682084	7.98626758711513e-08	9.58352110453815e-07
Gala3-type1-[410].SDB112	336	348	1386	1602	211	159	179	-5.55590945993362	-3.42612377358569	3864.55221548163	32512.7235119055	2917.51452189329	636.904697663922	-3.07263124785045	5.32358758042735e-13	4.47181356755897e-11
Gala3Lex-[650].SDB23	0	12	0	0	0	0	19	-8.73631434971206	-8.40958008477243	160.644878991827	222.723362216696	511.159709657434	280.819360529162	-0.471377903716907	0.823328698243901	0.909970790688775
Galili-tri-[680].SDB57	55	39	242	207	259	307	399	-4.94447911649517	-5.34670054712352	7122.62375520381	4763.84317344291	1189.04121346169	3042.67814874362	0.580282863306783	0.0988909276176071	0.171037135220446
P1.tri-[1220].SDB58	62	73	201	336	760	426	226	-4.68425929204864	-5.10596424535524	9239.57590555911	6060.49229528195	907.135936968154	3203.06848930186	0.60839164485375	0.052357343224215	0.112769662329078
LeA-[1380].SDB56	5	9	37	48	57	118	39	-6.47591243857419	-7.10509625473519	1540.09305574429	820.910674950283	257.363258914842	1013.62120481265	0.907720371383075	0.343462491541526	0.457949988722035
GM1-[160].SDB121	156	186	728	892	461	168	146	-5.29871398770814	-4.07555306981736	4998.01728741835	16982.8193942643	2403.61516339979	2053.93043526528	-1.76464819045023	1.62002066326178e-06	1.237106688309e-05
P1.penta-[190].SDB118	136	115	538	698	380	295	137	-5.21135941901521	-4.36146844173644	5454.25402893016	12759.6371021993	2249.37794670562	1715.73634876446	-1.22613349821635	0.000351651422844496	0.0017375717364081
P1.penta-[860].SDB13	187	213	823	761	1630	1025	886	-3.72673264414871	-4.01012741470488	24071.3571779958	18131.0849227857	2089.27114064946	1723.59415022155	0.40885223009524	0.137419231745777	0.209876644848096
LNT-NAc-[160].SDB68	52	62	242	336	455	235	204	-5.12178932233987	-5.13436355562131	5965.33942467282	5890.79947861093	1109.95105743951	1128.62129576224	0.0181407839981212	0.955536956239038	0.990927213877521
LNT-NAc-[220].SDB69	82	32	236	322	393	253	174	-5.20003690206731	-5.14900011774234	5516.3608518853	5805.20634871953	2110.90242246605	942.332160005954	-0.0736305156485451	0.83413989146471	0.909970790688775
LNT-NAc-[920].SDB42	42	46	208	350	587	492	375	-4.59659715612792	-5.25709511401935	10086.0988352122	5210.41842772063	1741.15320691555	1051.03475709478	0.952897128367245	0.00309496173348214	0.012998839280625
Lec-[1000].SDB67	14	26	187	91	345	245	256	-5.13374941948396	-5.94775498106859	5894.41834257245	2611.697251483	1538.36291295681	575.523579844015	1.17436178695417	0.0118961727846177	0.0370103153299219
Di-Lex-[490].SDB48	141	83	426	479	794	746	602	-4.19548699023558	-4.57901090445435	15063.4049444619	10265.0443865399	2358.74406527074	2247.54598862926	0.553308049105754	0.0645509896769098	0.12619446129239
Tri-Lex-[490].SDB49	43	15	292	201	390	362	210	-5.01498776632612	-5.44369080120947	6637.71324033411	4323.49662055621	2538.64525580998	1508.58822640917	0.618487742440264	0.121256653235564	0.188621460588656
Di-LN-[270].SDB149	46	50	187	204	165	63	49	-6.32691764692441	-5.42435506521589	1787.53510053779	4407.90805852299	275.076972953155	746.041815813452	-1.30212256072282	0.0164634103369196	0.044610531235524
Tri-LN-[730].SDB47	42	25	102	134	239	237	426	-5.00392844909729	-5.86075440703869	6711.52924166177	2849.09349553654	699.202894318547	3716.10396614241	1.23613856042699	0.0047114804742014	0.0188459218968056
LNnT-[350].SDB88	73	50	322	315	515	409	561	-4.54226157608393	-5.03416211617506	10649.2951077389	6511.65183941116	1645.07314927853	3264.26578560473	0.709662469800075	0.0251851237972541	0.0641075878475558
Lac-[80].SDB25	150	112	376	323	554	450	316	-4.70087580858342	-4.61845656625726	9087.31486714716	9868.01494073333	2717.44059433102	1138.63473829974	-0.118905832177779	0.698493719151283	0.799610636325421
Lac-[490].SDB22	150	218	1068	887	1861	1644	739	-3.54805003922057	-3.92770263184554	28780.7062210063	19688.8531792196	5701.11350822947	9435.52315891208	0.547722912640692	0.06380617096844	0.12619446129239
Lac-[650].SDB66	81	53	207	288	590	583	326	-4.56781497363399	-5.14471508054969	10380.6168769256	5830.13524631709	1205.33089107807	2652.07636194838	0.832290923335593	0.00801903012011674	0.0280666054204086
Lac-[1190].SDB20	129	111	345	348	698	509	237	-4.64224341999668	-4.67545336602941	9636.05564066823	9321.29821966742	1732.98002577947	3094.49329380036	0.0479118244496093	0.877171332144028	0.934399201693588
Lac-peg4-[1080].SDB9	80	55	254	221	644	527	490	-4.45363724231918	-5.1526251549659	11636.1663497941	5784.20035637022	1269.63512794338	1203.36483628946	1.00842639521674	0.00145983761553667	0.00645401893184632
GNLN-[1130].SDB55	0	0	0	0	0	0	0	-12.5773544116213	-12.5773544116213	3.44924768982049	3.44924768982049	0	0	0	1	1
3'GN-Di-LN-[80].SDB150	39	34	124	156	142	14	57	-6.60172972183326	-5.73162253143233	1358.01701314737	3241.8130205663	268.618031546162	976.455677023844	-1.25529932863325	0.0646317713678786	0.12619446129239
