sequence	20171016-87YGqkEV1	20171016-87YGqkEV2	20171016-87YGqkEV3	20171016-87YGqkEV4	20171016-87YGpgEV1	20171016-87YGpgEV2	20171016-87YGpgZQ1	20171016-87YGpgZQ2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	891	1104	334	1785	5511	1634	3962	1913	-4.20073337279523	-4.91489755777747	14984.5835039811	7336.46941815168	2242.3320601526	2195.70512135939	1.03032112805439	0.000827673545853261	0.00768554006863742
Gal-[1130].SDB10	1343	1456	563	3644	7921	2376	6325	3224	-3.77438335784336	-4.3890081310662	22951.2389807523	12413.0352204743	5312.97645027041	1964.30932019887	0.886716112336098	0.0115906803990523	0.0753394225938401
bMan-[320].SDB8	1816	1691	512	3443	6405	1888	5789	2592	-3.95934695875513	-4.34626295846555	19075.5673572399	12955.1361124551	4137.60061805278	2179.08459759743	0.558201794022822	0.0495578851850968	0.214750835802086
bMan-[1160].SDB11	522	606	260	1539	3386	1038	2555	1201	-4.66296094189456	-5.24209482777407	9438.4742127406	5289.16533209209	2493.11974081349	1271.28762391987	0.835513585169124	0.0173842930117847	0.10272536779691
bMan-[1430].SDB12	433	701	168	869	2452	917	1795	820	-4.94993039291502	-5.58118094438695	7083.90200165984	3768.11295834901	894.253630267221	1406.63854124099	0.910702040166967	0.00162520738279229	0.0132048099851873
H-type1-[700].SDB59	344	1315	63	458	857	283	623	339	-6.00290099072638	-5.79832593048879	2471.57175978596	3032.62732721119	1627.09449218657	267.272615053761	-0.295139424894326	0.359301041733552	0.569623602748314
Ley-Lex-[760].SDB22	587	948	101	694	1337	567	1444	747	-5.31189838354906	-5.612199718228	4932.55394467221	3653.02488775824	674.701217457698	446.896056120314	0.43324324631364	0.0489955440632433	0.214750835802086
Ley-Di-Lex-[320].SDB40	241	842	55	379	588	205	438	276	-6.31961272687677	-6.12376145006941	1800.64071096949	2190.20211366055	862.397607650973	139.82056139126	-0.282553665801758	0.306744884102906	0.528090250634979
Ley-[1780].SDB50	6	7	7	6	12	1	10	3	-10.4132512810083	-9.93171575227607	30.0318737791273	48.6083246672755	85.3150248486953	14.106754757303	-0.694708919313834	0.31216659859872	0.528090250634979
Di-N3-[160].SDB82	489	2108	118	793	1499	464	1175	665	-5.41545362177621	-5.31646794126719	4447.31995393677	4910.06577435137	2511.34271709202	267.255961979545	-0.142806150389381	0.626715719829208	0.777807671857553
A.tetra.type.2-[1050].SDB24	106	144	11	159	284	84	200	139	-7.08816630910306	-7.355196771618	834.926960743288	639.261616668403	217.134543571385	93.3395374761356	0.385243524036597	0.179505705269813	0.402340373880616
A.tetra.L-[890].SDB29	270	252	78	567	485	282	451	279	-6.26229166799631	-6.21622614273119	1906.87087066099	1996.76652803792	696.890504243459	477.168630366659	-0.0664585048559401	0.827834768221122	0.896820998906215
Tri-BN3-[840].SDB81	236	219	125	662	739	244	567	281	-6.14672495425988	-6.06458085447871	2140.48047470361	2323.73179221181	1248.09009441867	240.207266153707	-0.118508885392581	0.744807242698068	0.849519607265019
P1.tetra-[350].SDB5	0	0	0	0	0	0	0	1	-13.1817225153286	-14.1980764228627	1.88473653638537	0.682108962459343	0	3.26555073949763	1.46628874218748	0.40151874646814	0.60694694233556
Globoside-P-[300].SDB44	1408	2537	288	1712	3081	1060	3612	1506	-4.5367269578595	-4.66730112052484	10708.3982964415	9397.59831716962	1359.11083922954	1674.55142668145	0.188378696945516	0.324978615775372	0.528090250634979
LacDiNAc-[840].SDB34	92	322	64	344	174	67	99	71	-7.60085794326384	-6.60196017109765	500.022258634551	1357.70409518291	502.953723522221	113.476423548084	-1.44110486225921	0.000568547250275701	0.00615926187798676
2'F-B.type.2-[970].SDB39	1	0	2	2	4	1	3	1	-11.3975769003559	-11.5996310773249	11.2226455111427	9.16946993770256	26.6281492111956	2.71392494398908	0.29150255910411	0.760154863786203	0.851897692174193
B.tetra.type.2-[1000].SDB26	81	109	22	166	295	72	272	146	-7.01705996264362	-7.38613764861509	896.457240009745	619.785164641982	136.957069433738	151.736759820954	0.532466547253825	0.0568249297150085	0.230851276967222
Tri-AN3-[860].SDB80	124	107	54	240	315	103	350	121	-6.89368157449732	-6.9207806381505	1014.1732052975	987.059103704906	469.95947522555	203.930202863101	0.0390956847451801	0.909619478008043	0.95363332371811
Gala3Lex-[650].SDB23	647	864	79	865	1791	537	1676	928	-5.16014740481324	-5.59020046439325	5740.85339385963	3734.27919963626	1095.7389753108	532.447464474481	0.620435416375204	0.0193604424289166	0.104869063156632
Galili-tri-[680].SDB57	482	819	214	1066	1578	542	1179	700	-5.34940450133813	-5.39399875184189	4750.97935903659	4543.7675609032	1324.77042787878	372.582107657146	0.0643359040539372	0.778246641906559	0.857390368202141
P1.tri-[1220].SDB58	41	107	10	134	129	78	149	74	-7.52735721667063	-7.74150747978448	538.158615626238	434.416207575239	155.78951183605	131.02761890295	0.30895352259942	0.324137975480478	0.528090250634979
LeA-[1380].SDB56	15	30	3	23	39	20	49	19	-8.78403337060067	-9.09017769540719	153.159090347862	112.76802838184	15.1120366327368	33.0834694061005	0.441672899194668	0.166653390656075	0.401202607134995
P1.penta-[860].SDB13	121	215	26	240	419	123	308	163	-6.74794900930385	-6.97654534611099	1173.28354837359	933.522636596009	154.278956614674	126.40532876295	0.329794801477043	0.15996609043582	0.401202607134995
LNT-NAc-[920].SDB42	45	119	10	115	155	75	128	100	-7.46002036798044	-7.74845215669563	575.644446653041	431.409778789912	117.972282594956	111.222060482131	0.416119111214133	0.152753177577624	0.401202607134995
Lec-[1000].SDB67	81	186	23	227	325	112	230	138	-6.95119411802455	-7.14381514906049	957.491113373552	789.733391117402	201.700553044916	102.542380802597	0.277893406246465	0.27514127808817	0.496782863214751
Di-Lex-[490].SDB48	220	683	26	276	450	171	350	222	-6.54247218166597	-6.39446416012127	1440.92187152862	1670.78089487879	864.822095612036	124.016574846999	-0.213530438694331	0.519712633318762	0.718751514164245
