sequence	20190815-87YZrcRC1	20190815-87YZrcRC2	20190815-87YZrcRC3	20190815-87YZrcRC4	20190815-87YZrbRC1	20190815-87YZrbRC2	20190815-87YZrbRC3	20190815-87YZrbRC4	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
Gal-[1130].SDB10	22	39	48	543	59	126	68	319	-5.15235829073282	-5.07988223055925	5785.7441585459	6220.64157428456	7380.28134819002	4951.46408323322	-0.104560852595585	0.912559699640245	0.949424142167745
Lac-peg4-[1080].SDB9	9	7	19	26	5	29	3	4	-8.01380488772383	-7.14294403129978	330.863422784778	790.421641630731	248.96438124758	199.494549566485	-1.25638663886729	0.0332243407904141	0.140714855112342
Lac-[650].SDB66	3	6	15	16	31	64	54	67	-6.1252381499022	-7.55908468093554	2186.9702294143	521.352229189516	261.608808047052	670.40051043653	2.06860327971764	6.34366719558073e-05	0.000913488076163625
Lec-[1000].SDB67	43	25	59	82	35	106	90	88	-5.77814566193126	-5.88597541296029	3094.44824446728	2778.13507433771	778.000506845597	883.057330275928	0.155565447069879	0.670849567476886	0.799914165346147
LacDiNAc-[840].SDB34	12	22	24	56	24	38	41	49	-6.44447490346992	-6.55104351514436	1589.27887483356	1428.62402939558	348.175026525543	594.827141892269	0.153746007577138	0.694336405555592	0.799914165346147
Galili-tri-[680].SDB57	1	4	9	18	17	58	9	20	-6.99865023141211	-7.84307793917647	913.113626228935	392.459214133637	225.858619682033	404.289408769488	1.21825166638087	0.0412585440446599	0.141457865295977
P1.tri-[1220].SDB58	19	23	23	42	4	25	15	17	-7.49952128361059	-6.5451290380376	553.349204085664	1437.09863022372	142.054696217536	178.271128398207	-1.37689695975104	0.00292978506714953	0.0234382805371963
LNT-2-[970].SDB54	19	4	14	34	15	39	5	25	-7.15395987314588	-6.99217268517506	781.762264565796	919.047559879021	508.448007256032	420.927723775884	-0.233409573764862	0.662612843972899	0.799914165346147
GNLN-[1130].SDB55	28	31	43	44	29	41	35	17	-6.65599984025326	-6.1917243890449	1286.2814241952	2046.2951003259	464.488519669533	742.535884857315	-0.669807891064786	0.11479916300563	0.258298116762667
Gala3-type1-[410].SDB112	536	836	624	1336	758	2307	1656	1309	-2.85160844442451	-3.10866243110938	57751.3562836693	44660.6521059977	9765.04514756458	12343.6404498676	0.370850511831002	0.147561518981597	0.294272048570452
Di-LN-[270].SDB149	240	372	316	574	418	4971	902	904	-2.96869086856589	-3.89782419352044	51370.5170897897	20286.0018766152	3871.89365331984	29362.3193360682	1.3404560402366	0.000179841366495679	0.00215809639794815
