sequence	20180222-87YZrdRC1	20180222-87YZrdRC2	20180222-87YZrfRC1	20180222-87YZrfRC2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
Gal-[1130].SDB10	24	42	140	589	-5.67427070788534	-5.81740315135898	3433.17184868178	2975.32158104037	515.674485167705	2580.72797436465	0.206496466389745	0.809651132543286	0.878469379010528
Lac-peg4-[1080].SDB9	3	10	72	140	-6.86866068945449	-7.47459711400397	1039.86883970072	567.314284582679	331.240197111977	299.426834635735	0.874181474791531	0.296780411559337	0.637997896472246
Lac-[650].SDB66	16	28	202	522	-5.65799238665386	-6.22222018399897	3489.51546847556	1984.83362594814	343.782990111803	1655.30453917922	0.81400864516149	0.222181065731825	0.571322740453265
Lec-[1000].SDB67	51	88	784	1093	-4.66988615584072	-5.07222592545471	9373.33656588779	6268.45149424307	1025.60278454295	538.499559765333	0.58045359037451	0.0793363882271935	0.394192356406311
LacDiNAc-[840].SDB34	187	229	2004	3304	-3.64078564101081	-3.95017822038903	26231.7271474079	19251.2705007166	1500.18832312848	4594.99123430832	0.446359139956791	0.105631928441234	0.394192356406311
Galili-tri-[680].SDB57	27	15	174	294	-6.06981045796621	-6.18576952460449	2311.61131659135	2058.5168636095	1231.16801229769	443.921710220061	0.167293570385158	0.801316999713569	0.878469379010528
P1.tri-[1220].SDB58	138	180	1612	1870	-4.04060486275506	-4.22367487423078	17586.8315784234	14644.727963914	488.982135056193	1273.37873841944	0.264114197691505	0.118893346846599	0.407634332045483
LNT-2-[970].SDB54	64	98	837	1725	-4.38227978647481	-4.9102428675908	12496.836002991	7370.69801030308	588.830400336857	4095.95156537552	0.761689718898485	0.08267775210069	0.394192356406311
GNLN-[1130].SDB55	67	110	772	992	-4.72689536449194	-4.82697620545552	8853.91659730875	8010.70741393149	1032.39939175031	1.39364692105791	0.144386132946164	0.478306575687839	0.700652102477354
Gala3-type1-[410].SDB112	94	95	341	0	-6.23679025110533	-4.72421288307951	1956.12412439093	8877.69894760361	1883.70053506957	2765.01110077234	-2.18218786781173	0.515757797656941	0.700652102477354
Di-LN-[270].SDB149	91	107	267	0	-6.48128413163145	-4.68937330434109	1531.84232859568	9192.44521697923	979.323994865274	2164.97936629388	-2.58518086424705	0.444962825276254	0.696463552606311
LNnT-[350].SDB88	33	41	243	356	-5.81458223658287	-5.67753669937094	2983.72655894159	3421.97742904562	231.701235169297	275.582465524956	-0.197714916911623	0.651566153660604	0.820507388297418
LNT-NAc-[920].SDB42	91	155	1028	1446	-4.39433600985905	-4.5006782387502	12347.0759409198	11101.4645408492	1716.56706837024	787.046884869104	0.153419406258336	0.412296651594783	0.690357184065684
P1.penta-[190].SDB118	23	23	139	0	-7.13335649424926	-6.13641275605711	798.036282904452	2162.6677367112	474.647802564544	1127.08663638521	-1.43828578713512	0.631486005318925	0.820507388297418
P1.penta-[860].SDB13	164	184	1373	1978	-4.09244005392333	-4.12185334750386	16698.4387171095	16214.4355935466	2261.15725788021	1345.91931808272	0.0424344127848297	0.817464561023686	0.878469379010528
3'GN-Di-LN-[80].SDB150	48	72	146	0	-7.08434569999115	-5.20865269387276	838.122991802259	5469.03719339945	357.376204526533	1183.84639505209	-2.7060529981571	0.405930864793686	0.690357184065684
Tri-LN-[730].SDB47	168	205	1883	3485	-3.63645844479261	-4.05899957266062	26345.4829221936	17266.2841404083	1388.90995024191	6718.02928149937	0.609597989746805	0.0901499619529491	0.394192356406311
Di-N3-[160].SDB82	70	4	35	77	-7.51151478958245	-5.5340881828394	546.752246504654	3949.80849769965	5151.43048062353	201.984029030748	-2.85282355927009	0.201400819931808	0.537068853151488
