Type,Pfu/mL,logconc,ABS 4501,ABS 4502,ABS 4503,Avg,Mean,Error,Square of error,Stdev_Prop
Blocking Phage,1.00E+10,1.00E+01,0.441,0.436,0.465,0.447333333,0.022,0.015502688,0.000240333,0.042856349
Blocking Phage,5.00E+09,9.70E+00,0.487,0.5,0.484,0.490333333,0.065,0.008504901,7.23E-05,0.040849317
Blocking Phage,1.00E+09,9.00E+00,0.392,0.424,0.453,0.423,-0.002333333,0.030512293,0.000931,0.05027259
Blocking Phage,5.00E+08,8.70E+00,0.437,0.428,0.456,0.440333333,0.015,0.014294521,0.000204333,0.042434263
Blocking Phage,1.00E+08,8.00E+00,0.477,0.447,0.471,0.465,0.039666667,0.015874508,0.000252,0.042992247
Blocking Phage,5.00E+07,7.70E+00,0.439,0.475,0.461,0.458333333,0.033,0.018147543,0.000329333,0.043882419
Blocking Phage,1.00E+07,7.00E+00,0.47,0.451,0.445,0.455333333,0.03,0.013051181,0.000170333,0.042031734
Blocking Phage,1.00E+06,6.00E+00,0.424,0.447,0.458,0.443,0.017666667,0.017349352,0.000301,0.04355839
Man 1,1.00E+10,1.00E+01,2.318,2.493,2.432,2.414333333,1.989,0.088827548,0.007890333,0.097399521
Man 1,5.00E+09,9.70E+00,1.991,2.039,2.022,2.017333333,1.592,0.024337899,0.000592333,0.046783188
Man 1,1.00E+09,9.00E+00,0.623,0.687,0.737,0.682333333,0.257,0.057143095,0.003265333,0.069725653
Man 1,5.00E+08,8.70E+00,0.552,0.593,0.587,0.577333333,0.152,0.022143472,0.000490333,0.045680047
Man 1,1.00E+08,8.00E+00,0.48,0.494,0.509,0.494333333,0.069,0.014502873,0.000210333,0.042504902
Man 1,5.00E+07,7.70E+00,0.451,0.436,0.444,0.443666667,0.018333333,0.007505553,5.63E-05,0.040653003
Man 1,1.00E+07,7.00E+00,0.407,0.429,0.407,0.414333333,-0.011,0.012701706,0.000161333,0.041924535
Man 1,1.00E+06,6.00E+00,0.415,0.42,0.418,0.417666667,-0.007666667,0.002516611,6.33E-06,0.040033319
LNT,1.00E+10,1.00E+01,0.458,0.395,0.445,0.432666667,0.007333333,0.033261589,0.001106333,0.051987178
LNT,5.00E+09,9.70E+00,0.459,0.485,0.477,0.473666667,0.048333333,0.013316656,0.000177333,0.042114922
LNT,1.00E+09,9.00E+00,0.433,0.499,0.596,0.509333333,0.084,0.081989837,0.006722333,0.091206725
LNT,5.00E+08,8.70E+00,0.461,0.447,0.418,0.442,0.016666667,0.021931712,0.000481,0.045577772
LNT,1.00E+08,8.00E+00,0.476,0.466,0.443,0.461666667,0.036333333,0.016921387,0.000286333,0.043389707
LNT,5.00E+07,7.70E+00,0.46,0.459,0.435,0.451333333,0.026,0.014153916,0.000200333,0.042387105
LNT,1.00E+07,7.00E+00,0.465,0.5,0.45,0.471666667,0.046333333,0.025658007,0.000658333,0.04748333
LNT,1.00E+06,6.00E+00,0.434,0.417,0.384,0.411666667,-0.013666667,0.025423087,0.000646333,0.047356802
Blank,0.00E+00,0.00E+00,0.413,0.47,0.393,0.425333333,,0.03995414,0.001596333,0.056503687
,,,,,,,,,,
Man3,1.00E+10,1.00E+01,3.614,3.598,3.658,3.623333333,3.525666667,0.031069814,0.000965333,0.031267662
Man3,1.00E+09,9.00E+00,2.026,2.063,2.052,2.047,1.949333333,0.019,0.000361,0.019321836
Man3,1.00E+08,8.00E+00,0.422,0.43,0.422,0.424666667,0.327,0.004618802,2.13E-05,0.005802298
Man3,1.00E+07,7.00E+00,0.146,0.144,0.154,0.148,0.050333333,0.005291503,2.80E-05,0.006350853
Man3,1.00E+06,6.00E+00,0.136,0.111,0.11,0.119,0.021333333,0.01473092,0.000217,0.015143756
Blank2,0.00E+00,0.00E+00,0.101,0.094,0.098,0.097666667,,0.003511885,1.23E-05,
