sequence	20181108-87YTbgBS1	20181108-87YTbgBS2	20181108-87YTbgBS3	20181108-87YTsbBS1	20181108-87YTsbBS2	20181108-87YTsbBS3	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
blank-[<8].SDB3	32	0	50	55	91	92	-6.28778008290699	-7.03338730536868	1858.88193370672	881.939317478928	1103.88433407196	825.572801719318	-1.07568384229648	0.426132604364705	0.58046170972922
blank-[<8].SDB60	1122	444	170	776	489	429	-4.41568722716996	-4.38897313771386	12086.2452742356	12413.4696017896	6460.63570466072	781.429866855385	0.0385402843801815	0.912524827031491	0.976096550814904
blank-[<8].SDB103	1073	489	345	761	802	498	-4.19139853616962	-4.20414141492221	15125.117051249	14933.6023344754	3738.37066654143	3621.11285209196	-0.0183840879830123	0.956026459973778	0.999662522462208
blank-[<8].SDB120	1259	558	538	1027	341	643	-4.25358555751308	-3.94880420886789	14213.1802605314	19277.7401488174	5540.52921283744	5201.68779878149	0.439706540245862	0.241110539073372	0.387005451251527
blank-[<8].SDB174	713	1128	866	2645	5628	1123	-2.66063803592761	-3.68419290502791	69903.6065006875	25117.4387033252	12229.9625875788	57124.8099043414	-1.47667753372875	0.0134396780080573	0.0505492366870215
Gal-[110].SDB130	0	0	0	0	0	0	-12.7658129496744	-12.7658129496744	2.85678711869423	2.85678711869423	0	0	-0	1	1
Gal-[1130].SDB10	731	405	378	1028	833	1147	-3.78711304207777	-4.36291888847131	22660.9286553887	12741.1433435744	3366.01868869254	7167.85506149694	-0.830712239106834	0.0287069761372729	0.0865721630555328
bMan-[<8].SDB99	191	242	116	343	349	280	-4.93179756613755	-5.37649603333239	7213.52483209012	4623.995904431	1159.71885398849	1355.12558957228	-0.641564273312918	0.124519293600037	0.237718651418252
bMan-[80].SDB89	8	187	77	179	30	96	-6.16497662558457	-5.96210012351395	2101.76749160194	2574.49952362519	2178.02146682576	1208.90082013358	0.292688923450188	0.770446395801155	0.859081821866775
H-type1-[700].SDB59	1469	868	612	688	706	311	-4.39981888100703	-3.73190438914954	12279.5637638937	23947.1876202551	3358.8643583976	4369.52517606586	0.963596925140666	0.0125011445316501	0.048465975722705
