sequence	20171016-87YGqaEV1	20171016-87YGqaEV2	20171016-87YGqaZQ1	20171016-87YGqaZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	2779	4656	4816	2224	1320	1946	3355	2752	-3.26843379842887	-3.53519480446222	38065.9994399605	29153.0772866566	7701.03322293437	4029.01666297105	-0.384854780506857	0.104782250032852	0.221654759684879
Gal-[1130].SDB10	3619	7883	13340	3920	2345	3797	5567	4848	-2.68994684154717	-2.91539001087415	67884.5479133866	54182.8949933585	21342.6419697903	6674.15112911022	-0.325245742390323	0.21940988454758	0.370394545243083
bMan-[1160].SDB11	943	1940	2083	997	964	1718	4009	2321	-3.34869167552236	-4.44959248125734	35130.285860368	11683.3271751937	2013.43131965668	10840.9492972653	-1.58826413294452	3.87612769640963e-05	0.000789291932101298
bMan-[1430].SDB12	941	2045	1389	931	730	1003	3603	1949	-3.59152421953028	-4.548433539014	27556.2965515769	10583.7704689266	2390.51030838786	12315.8623440311	-1.38052832979959	0.00069923729144416	0.0049500461721047
H-type1-[700].SDB59	345	1035	296	1056	97	130	333	273	-5.73470788033632	-5.19266748992252	3231.82631048114	5557.16334909228	3120.71073229889	746.378678803666	0.781998983211501	0.0747109618062901	0.175718216090452
Ley-Di-Lex-[320].SDB40	318	726	318	444	108	179	306	276	-5.66452781967753	-5.60646844230088	3466.78433365827	3674.02149255257	1124.85181175739	303.840512087649	0.0837619758183913	0.74823967938494	0.849192652000368
Di-N3-[160].SDB82	220	757	537	892	354	684	1543	779	-4.32997355806464	-5.35358950753767	13167.8956701226	4731.13802797074	2225.70122216454	4603.45952646132	-1.4767656540796	0.00119416801474177	0.0072358485639014
A.tetra.type.2-[1050].SDB24	128	382	306	226	42	66	104	119	-6.62989284070025	-6.21195655024534	1320.30456135242	2005.31013327964	214.92628340615	80.2788805673568	0.602954613646823	0.0104180543811767	0.0394122163097425
Tri-BN3-[840].SDB81	232	414	646	334	228	385	638	436	-4.97935313770729	-5.74778260836677	6878.5105678324	3189.84609839398	678.174769125328	1232.56038109962	-1.10860938659337	0.000607625872423724	0.00467153224497809
LacDiNAc-[840].SDB34	60	312	165	246	46	47	78	82	-6.85507244617385	-6.50954036966923	1054.09526765954	1489.16403073912	647.993055710239	206.044754122652	0.49849741324128	0.148031887406604	0.286836855001956
Tri-AN3-[860].SDB80	136	282	347	131	107	175	320	214	-5.71494126309761	-6.3564372002283	3296.34413301184	1735.53908812462	434.578015004256	620.58455935998	-0.925483007248864	0.00263652527698288	0.0130007970554673
Gala3Lex-[650].SDB23	395	2783	1283	1046	261	414	661	739	-4.79769266384003	-4.6150028491777	8248.75776559642	9902.15519392743	4791.12550898629	495.298190051469	0.263565689634268	0.403915771617293	0.561860695644808
Galili-tri-[680].SDB57	355	1358	895	1561	289	387	827	562	-4.78904322671109	-4.80944584256509	8320.41432499968	8152.37614600616	4056.46961166767	1651.66557455876	-0.029434752713738	0.928490516390845	0.962131477129644
P1.tri-[1220].SDB58	61	207	208	130	23	50	28	82	-7.2002237328839	-6.7720908775546	746.418791264996	1145.29746889667	208.214705134991	293.691652027306	0.617665147225214	0.0788559372983268	0.181877403768721
LeA-[1380].SDB56	4	64	36	34	1	13	9	17	-8.74834692499475	-8.28455528501436	158.723490201173	252.384892364351	139.735362550238	97.7335139410959	0.669109899005467	0.254909112982788	0.413468121752713
LNT-NAc-[920].SDB42	98	284	208	178	33	39	52	80	-7.08839098479565	-6.50767418775772	834.739394021752	1491.94567643771	182.436153691859	156.245586282792	0.837797243247541	0.00343783519869371	0.0158584010778452
Lec-[1000].SDB67	192	499	242	279	56	57	134	113	-6.53352782540058	-6.0265142912932	1453.86780028998	2413.89346049391	622.888581248322	284.817670065206	0.731465911320301	0.0153529522649929	0.0535481018022923
Di-Lex-[490].SDB48	240	727	148	474	60	106	197	181	-6.15050252213604	-5.74314600058378	2132.40991755878	3204.67050456078	1579.07802718829	302.326169014009	0.587691233517228	0.154789513390176	0.29356631849861
