sequence	20171016-87YGqfEV1	20171016-87YGqfEV2	20171016-87YGqfZQ1	20171016-87YGqfZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	4543	1962	10308	13919	1320	1946	3355	2752	-3.38089573927202	-3.52338115682526	34016.9707471717	29499.5238387705	2452.98196654237	4379.50695178098	0.205563005303043	0.221200658487827	0.287560856034175
Gal-[1130].SDB10	8643	5179	13411	16834	2345	3797	5567	4848	-2.79876111194329	-2.94595253337289	60885.4461717779	52551.9784546866	21700.945755142	9855.85194911265	0.212352333757886	0.462102055537109	0.517872993274346
bMan-[320].SDB8	3304	1502	8509	9520	2128	3331	5518	4536	-2.87636844492609	-3.81420330241652	56338.989923439	22055.2788433198	1266.1829249477	8084.44207576708	1.35300969807425	6.27659235751721e-06	0.000101994625809655
bMan-[1160].SDB11	1822	629	4663	5753	964	1718	4009	2321	-3.46072507123628	-4.451973025108	31406.9814617261	11655.5475809217	1372.35767815373	9724.96013457475	1.43006850734205	0.000108094976126856	0.000638743040749601
bMan-[1430].SDB12	1680	396	5829	7582	730	1003	3603	1949	-3.71279773397861	-4.40241543175448	24409.1373804555	12247.7206124942	4513.82895106556	10360.0162896891	0.994908032690503	0.019714057952153	0.0355948268580541
H-type1-[700].SDB59	211	157	1033	1041	97	130	333	273	-5.8547618879802	-6.12509157511266	2866.21800082465	2187.29080760918	496.551689923385	577.15442226049	0.390003299031058	0.12248205173773	0.176918519176721
Ley-Lex-[760].SDB22	2301	1561	3514	4790	287	388	531	729	-4.96020864382652	-4.21277399279567	7011.46478112097	14805.2416881631	6877.49587617988	777.104176723635	-1.07832026443078	0.00619747894910341	0.0143870047032758
Ley-Di-Lex-[320].SDB40	399	262	499	547	108	179	306	276	-5.77643199120518	-6.07917842374045	3099.75565611634	2290.05733699477	1363.43498865031	391.722798441631	0.436770776865465	0.282001708936119	0.345851152468825
Ley-[1780].SDB50	28	6	76	107	1	4	10	1	-9.75511385350496	-8.58733974817234	57.9973143091306	186.451436261039	59.5634004186537	46.6127915323458	-1.68474191064191	0.016790377164651	0.0320992504618329
Di-N3-[160].SDB82	273	82	1587	1441	354	684	1543	779	-4.43949164081197	-5.95519260246811	11801.9366179445	2592.34449456903	1224.36720187028	4216.31313720439	2.18669426085194	0.00029295088605922	0.00136012911384638
A.tetra.type.2-[1050].SDB24	428	162	1201	1757	42	66	104	119	-6.7440098460203	-5.78154147417509	1177.91441873769	3083.95790093013	536.202866663486	102.042434671078	-1.38854834707355	3.49775043226332e-05	0.000284192222621395
A.tetra.L-[890].SDB29	1090	602	2152	3064	102	161	202	335	-5.86419502633388	-4.93057194602638	2839.3076937448	7222.37129328977	1624.65862712589	550.031977003134	-1.34693338801911	0.000164590164256364	0.000891530056388639
Tri-BN3-[840].SDB81	333	128	865	989	228	385	638	436	-5.08771139125075	-6.139402057627	6172.12932469336	2156.21252374675	147.060506421958	1362.27639327887	1.51726890893023	2.3270771978663e-05	0.00021608573980187
P1.tetra-[350].SDB5	0	0	9	5	0	2	1	0	-11.3583148332647	-11.2485679109961	11.6720340061769	13.025938606574	10.8245978198967	18.3202064350492	-0.158331340509783	0.889580184425137	0.903479874806779
Globoside-P-[300].SDB44	2573	1379	5356	5210	524	701	996	1683	-4.28662983507645	-4.13650887622335	13751.1910737398	15978.5372964293	4472.78890153709	2629.33896648834	-0.21657876287086	0.392382816358113	0.455444340415667
LacDiNAc-[840].SDB34	294	158	1179	1188	46	47	78	82	-6.97382482878043	-5.98746865485946	936.065758842895	2510.00971617605	379.561620641778	138.453219496212	-1.42301116066599	4.95280852169824e-05	0.000357702837678206
2'F-B.type.2-[970].SDB39	4	3	8	8	0	0	1	2	-11.3931987604991	-10.6410746027576	11.2718875383384	23.9133278756097	12.9954433630181	9.93138252033504	-1.08508579250643	0.21594840095844	0.286462164536707
B.tetra.type.2-[1000].SDB26	444	171	1318	2153	35	42	66	93	-7.07721833345613	-5.67338274002634	844.117940285589	3436.22174884408	863.655172990957	95.3065894734091	-2.02530664886457	5.34799178206073e-06	0.000101994625809655
Tri-AN3-[860].SDB80	193	111	424	452	107	175	320	214	-5.82552061160221	-6.67217284682975	2951.267288362	1265.64570685704	329.205944526582	630.163876666859	1.22146098112032	0.000643611717581255	0.0022018295601464
Gala3Lex-[650].SDB23	3046	2843	5187	5108	261	414	661	739	-4.91084991545162	-3.80517580807107	7366.22500164566	22255.2841635187	14984.5116204325	650.875775575748	-1.59515055155726	0.00316399651870201	0.00790999129675502
Galili-tri-[680].SDB57	341	214	1615	1544	289	387	827	562	-4.90478269532158	-5.7214586698881	7411.0533645156	3274.93037426248	692.466015958889	1383.74708974837	1.17821437852027	0.000377852122224384	0.00157908100562385
P1.tri-[1220].SDB58	219	80	803	1134	23	50	28	82	-7.30529792629171	-6.30851849737016	671.969284354403	1820.72865637611	537.471401429481	294.19573239452	-1.43804873896525	0.00312144446779956	0.00790999129675502
LeA-[1380].SDB56	58	9	252	356	1	13	9	17	-8.85757928941503	-7.58773034555001	142.299112542192	506.629624223462	276.579929057143	97.8082021984062	-1.83200477399215	0.0143702046113585	0.0283049484769183
P1.penta-[860].SDB13	430	233	954	1311	70	99	149	162	-6.35174196857661	-5.82558815590244	1743.70700631265	2951.06795381023	488.996251689546	124.027760165974	-0.759079496289839	0.00216401991221419	0.00639055711819328
LNT-NAc-[920].SDB42	231	75	658	928	33	39	52	80	-7.20591917708547	-6.42720091811753	742.179687935608	1616.97053896439	348.687637449184	116.526682218199	-1.12345297046274	0.00106992858147569	0.0033116837045676
Lec-[1000].SDB67	251	143	1085	1469	56	57	134	113	-6.65529841864369	-6.00221410150376	1287.18396627637	2473.27003898876	618.59894128193	180.582559310123	-0.942201505620135	0.00255120824573453	0.00690952233219768
Di-Lex-[490].SDB48	216	159	486	499	60	106	197	181	-6.26376841355071	-6.46990950946522	1904.0569857873	1549.36592953536	614.970043926043	300.570816271818	0.297398736799281	0.318874898079281	0.376852152275514
