sequence	20171003-87YGqeEV1	20171003-87YGqeEV2	20171016-87YGqeZQ1	20171016-87YGqeZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	9551	7945	6644	10489	1320	1946	3355	2752	-3.35212632367904	-3.49348889640196	35009.8326643817	30394.6432067238	3480.76077397367	3794.36126189572	-0.203943082634667	0.158020195746072	0.295144296254559
Gal-[1130].SDB10	13180	10193	12654	21962	2345	3797	5567	4848	-2.77275511603464	-2.99356182515943	62489.6012529887	50108.6402761353	10208.4956198611	7036.21113333823	-0.31855674424935	0.0850769941674832	0.193726276527868
bMan-[1160].SDB11	5699	5386	5224	11516	964	1718	4009	2321	-3.43516169500381	-3.7398480334541	32220.1999653349	23757.7132346094	5466.69452867073	9477.19918167206	-0.439569469508844	0.0995062728146109	0.214298147778454
bMan-[1430].SDB12	5407	5578	2749	4805	730	1003	3603	1949	-3.68069415170677	-4.10743328224504	25205.472339592	16449.9427462977	5509.47491298895	10804.4983077185	-0.615654427380832	0.0877081100827453	0.197205341852713
H-type1-[700].SDB59	2441	1487	333	477	97	130	333	273	-5.82287352419435	-5.49195302222317	2959.08989983861	4119.7902701362	3140.24703338253	626.637098014356	0.477417367122314	0.407526545592185	0.564304314645311
Ley-Di-Lex-[320].SDB40	451	383	238	532	108	179	306	276	-5.74986754623685	-6.58678931100072	3183.20239572402	1378.45866836448	226.476426399153	242.611262472137	-1.20742287963687	7.24773009087559e-05	0.00110258021595235
Di-N3-[160].SDB82	3271	1994	496	1193	354	684	1543	779	-4.4161840328118	-5.12577763190274	12080.2422506861	5941.59518556178	3735.61416823745	4072.50553449697	-1.02372716645505	0.0596193472401267	0.149048368100317
A.tetra.type.2-[1050].SDB24	1073	887	754	930	42	66	104	119	-6.71613860414917	-5.72733708939453	1211.20614217056	3255.73543290178	636.381510237116	50.998053434866	1.42653904176002	3.59146023365767e-05	0.000778149717292495
Tri-BN3-[840].SDB81	1402	972	1075	2305	228	385	638	436	-5.06280809161927	-5.32544791461612	6327.76559558901	4866.17089694374	873.263878798251	1149.78540825586	-0.378909170177505	0.0929559679929524	0.204503129584495
LacDiNAc-[840].SDB34	795	556	139	269	46	47	78	82	-6.93680049851809	-6.48193029748541	971.372538458026	1530.85282411573	982.790418912901	205.04938986691	0.656238983278013	0.213009314199674	0.365375236104779
Tri-AN3-[860].SDB80	432	420	413	804	107	175	320	214	-5.79944027314101	-6.32585443840067	3029.24982342995	1789.43663377721	364.793576822548	559.981369948708	-0.759455105673814	0.00679779241254501	0.0280949223986687
Gala3Lex-[650].SDB23	5205	2705	2407	2591	261	414	661	739	-4.88275894335183	-4.48186643566164	7576.08318301634	11312.2797963492	3491.43170555309	295.329807864671	0.578365632774178	0.0367116207507603	0.104995235347174
Galili-tri-[680].SDB57	5098	2823	513	1034	289	387	827	562	-4.8737503097004	-4.8155962698918	7644.64168648811	8102.38942639697	6479.92657012369	1468.4763137152	0.0838985448395202	0.886875172191125	0.938041047509844
P1.tri-[1220].SDB58	792	577	642	558	23	50	28	82	-7.28386207498733	-6.05950421960922	686.529010571318	2335.55852465657	665.727486256907	271.541928844856	1.76637500622745	0.00122982593178543	0.00732771284355485
LeA-[1380].SDB56	284	233	220	314	1	13	9	17	-8.84574053005848	-6.98218811507098	143.993769014303	928.269818196918	121.170164058314	90.6870687778028	2.68853782753912	0.000248091676551509	0.00239710200992336
LNT-NAc-[920].SDB42	768	636	452	488	33	39	52	80	-7.17213750483265	-6.16025464690923	767.680056409353	2111.71546144433	627.778472442088	148.688054898228	1.45983838108667	0.00103089569691396	0.0065811644936918
Lec-[1000].SDB67	1292	917	701	1030	56	57	134	113	-6.61902172856361	-5.66896963418775	1334.73604128468	3451.4196694571	588.061207751617	258.156742027477	1.37063544514222	9.80118456647326e-05	0.00134766287789007
Di-Lex-[490].SDB48	840	622	148	278	60	106	197	181	-6.23797788526101	-6.40552137297805	1953.80234355407	1652.40847594741	1089.42673083971	239.64162006184	-0.241714158862616	0.61693837772439	0.743863305350656
Tri-Lex-[490].SDB49	920	832	1379	2783	301	320	524	842	-4.91805475519442	-5.2919743715399	7313.34326198535	5031.81577201039	2204.64037290753	1677.26751682739	-0.53945197619273	0.140474405769605	0.275175890754158
