sequence	20171003-87YGqcEV1	20171003-87YGqcEV2	20171016-87YGqcZQ1	20171016-87YGqcZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	2992	4264	4190	2816	1320	1946	3355	2752	-3.74427288589871	-3.68409100860507	23652.8210963849	25119.9982108801	8264.74652583593	2132.64533655923	-0.0868240959229302	0.751726668022199	0.842452300369705
Gal-[1130].SDB10	8086	13878	10253	7415	2345	3797	5567	4848	-3.16501217303219	-2.64797009628861	42213.627943127	70794.7738780584	29462.5619416947	3982.88719310385	-0.745934040048899	0.0318848981430771	0.0767599399740745
bMan-[320].SDB8	1732	2571	4789	3162	2128	3331	5518	4536	-3.24120595769567	-3.92625866694579	39116.6935655468	19717.3037279803	937.920358136187	3507.84683731819	0.988322146382697	0.000237895476027416	0.00137867827077753
bMan-[1160].SDB11	3688	4375	2406	1581	964	1718	4009	2321	-3.82733738814668	-3.75709058784893	21767.4969332821	23351.5810123996	15567.9337775618	6270.76852177671	-0.101344710427885	0.843210084731333	0.913477591792278
bMan-[1430].SDB12	2611	3453	1645	1074	730	1003	3603	1949	-4.072342786179	-4.07160801179998	17037.4266670179	17049.9499319408	11736.5836994593	7234.88626834058	-0.00106005535278062	0.998502166936802	0.998502166936802
H-type1-[700].SDB59	190	483	225	164	97	130	333	273	-6.21350538771322	-6.25688924954263	2002.20663783593	1917.20046230632	1208.39216463191	427.529582236711	0.0625896823159005	0.890746789250827	0.937873209520973
Ley-Lex-[760].SDB22	120	237	1467	984	287	388	531	729	-5.3183945562014	-5.54077500570957	4900.61507515493	3923.48493648505	2761.95150708475	637.087231960635	0.320827171696088	0.557414074089917	0.670961385478604
Ley-Di-Lex-[320].SDB40	84	139	166	110	108	179	306	276	-6.14061041541014	-7.07983622121022	2153.60862110145	841.911024256323	160.49755425133	155.191891072558	1.35501641230272	0.000254525219220468	0.00137867827077753
Ley-[1780].SDB50	1	1	36	21	1	4	10	1	-10.118847152654	-9.40599695037151	40.3125729960983	82.2294579917829	77.9785795301112	31.3330994570328	-1.02842545172963	0.330509436760682	0.477402519765429
Di-N3-[160].SDB82	604	1458	322	161	354	684	1543	779	-4.8091839204796	-5.30858586751181	8154.51171303193	4948.92020049574	4640.74496631851	2693.57090350512	0.720484712393658	0.343359432318571	0.485181806537111
A.tetra.type.2-[1050].SDB24	620	520	676	408	42	66	104	119	-7.10532496500587	-5.51077985687772	820.722945716231	4042.95322860583	1940.13996460712	54.3976131999428	-2.30044231997023	0.000134224065205222	0.0012066291653956
A.tetra.L-[890].SDB29	843	1041	1405	1041	102	161	202	335	-6.22352407830698	-4.90291045282687	1982.2472991957	7424.94165061808	1477.21296474832	404.67190976119	-1.90524272841055	6.81814775059361e-05	0.00110794900947146
Tri-BN3-[840].SDB81	760	1123	671	409	228	385	638	436	-5.45554227703684	-5.19645326446055	4272.55924262952	5536.1649542551	3228.56849411313	715.368730630157	-0.37378643359262	0.418656468365722	0.566930634245248
P1.tetra-[350].SDB5	2	0	1	1	0	2	1	0	-11.6558006071348	-11.764540174835	8.66862296688802	7.77544260497027	9.65712445991761	11.4287921349095	0.15687803506946	0.894586753696929	0.937873209520973
Globoside-P-[300].SDB44	122365	82544	66805	57026	524	701	996	1683	-4.64163321288129	-0.424878159049776	9641.9374247552	653849.445914569	486219.212728605	2204.87742176373	-6.0834916048062	5.76146428330034e-06	0.000374495178414522
LacDiNAc-[840].SDB34	5080	4820	1334	1100	46	47	78	82	-7.32594077439331	-3.64544303225143	658.240116578512	26109.8397900451	24283.7524942189	128.129081966673	-5.30983584059111	0.000181373981589088	0.0012066291653956
2'F-B.type.2-[970].SDB39	0	0	3	1	0	0	1	2	-11.7093379143826	-11.8642382247883	8.21673266123558	7.03763610452666	5.97204634568169	7.24411989287751	0.223473909654466	0.841758426576429	0.913477591792278
B.tetra.type.2-[1000].SDB26	173	243	546	381	35	42	66	93	-7.43152154670631	-6.15454367852614	592.285635699803	2123.80990429726	336.928634211449	98.2363157314681	-1.84228963774849	3.97405728051002e-05	0.000861045744110503
Tri-AN3-[860].SDB80	1321	1467	500	368	107	175	320	214	-6.19179406136225	-4.89653373671297	2046.15253517075	7472.43967544749	6230.78317565601	352.19078244807	-1.86866564703174	0.0188738700309918	0.0511167313339362
Gala3Lex-[650].SDB23	8402	8276	5211	3548	261	414	661	739	-5.27257051416612	-3.00126179185257	5130.40582795045	49724.2870674305	34002.5155026832	322.719879215157	-3.27680583000961	0.000150165779701862	0.0012066291653956
Galili-tri-[680].SDB57	10138	9117	946	627	289	387	827	562	-5.26629251013256	-3.0616328513526	5162.71585154095	46811.1970554907	52703.2221583316	924.733580813733	-3.1806515565698	0.0160555030978332	0.0453742478851808
P1.tri-[1220].SDB58	1150	992	758	676	23	50	28	82	-7.66904171845103	-4.97550553263443	467.065189270822	6905.02734030809	4241.98561513734	189.185870304482	-3.88595129773259	0.000102942517685751	0.0012066291653956
LeA-[1380].SDB56	3	3	120	69	1	13	9	17	-9.23504171108759	-8.25704640837839	97.5601242455644	259.42409359516	259.91530240587	62.0015202414613	-1.41094897323127	0.195355034524563	0.325591724207606
P1.penta-[860].SDB13	6437	5258	2294	1622	70	99	149	162	-6.71181564595035	-3.42574270080325	1216.45346950987	32525.1155869103	29074.0391562918	59.9986751438724	-4.74080114196311	0.000134992194164583	0.0012066291653956
LNT-NAc-[920].SDB42	526	485	333	211	33	39	52	80	-7.55902079387913	-5.79738762565209	521.385537912777	3035.47419150462	2116.6049111645	102.516210567065	-2.54149943566666	0.00105892084893036	0.00443899487199319
Lec-[1000].SDB67	1021	991	571	419	56	57	134	113	-7.00949093682677	-5.12841578385337	903.268292000105	5925.94101275562	4212.4385452261	164.90340221518	-2.71381779473417	0.000911861580177584	0.0042336430508245
Di-Lex-[490].SDB48	116	299	135	65	60	106	197	181	-6.62819484313085	-6.79766155256428	1322.54833971446	1116.38270010695	813.577579130566	170.917393359899	0.244488781295378	0.635207225008129	0.72435911623734
Tri-Lex-[490].SDB49	153	436	1066	661	301	320	524	842	-5.30644701740468	-5.67565870114042	4959.51652693412	3428.40993482893	1283.30745715834	1201.87605552427	0.532659865163807	0.168583624654758	0.288366726383139
Tri-LN-[730].SDB47	80	94	66	30	7	13	27	16	-8.76502267446665	-7.58408537499623	156.098603844134	508.479643870748	329.784171299521	39.3744058835443	-1.70373238554678	0.0125036797093705	0.0369426900504129
LNnT-[350].SDB88	1182	2443	2208	1588	457	578	938	1024	-4.87929951443961	-4.3676659322	7602.33749049278	12680.8039092452	3896.04464075421	636.541349703803	-0.738131231849337	0.0213818658548762	0.0555928512226782
Lac-[80].SDB25	1007	2515	3311	2037	811	1084	1712	2014	-4.25936354093208	-4.25337693605477	14131.2935385319	14216.1457442455	3095.99396016927	1116.93920122576	-0.00863684516825691	0.970316748748511	0.987175485180202
Lac-[220].SDB27	664	1409	1800	1065	521	635	879	1053	-4.82702916647256	-4.82120918863115	8010.28316995398	8057.03876679934	1552.28266520661	1187.37557008728	-0.00839645316987733	0.971988170023583	0.987175485180202
Lac-[650].SDB66	279	709	201	164	109	140	332	221	-6.22162318308067	-5.97041536633195	1986.01892722326	2553.18069341397	2041.67501835735	413.579524934143	-0.362416271455926	0.537783442406867	0.670961385478604
Lac-peg4-[1080].SDB9	5666	9605	1771	1192	801	1213	2626	1564	-4.17412123811643	-3.29298828351696	15388.7087256739	37142.6905019869	34260.0653166785	3519.63068922194	-1.2712061439645	0.125152835697768	0.225970397787636
