sequence	20171016-87YGqjEV1	20171016-87YGqjEV2	20171016-87YGqjZQ1	20171016-87YGqjZQ2	20171016-87YGsaEV1	20171016-87YGsaEV2	20171016-87YGsaZQ1	20171016-87YGsaZQ2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	6874	12137	1860	2261	1320	1946	3355	2752	-3.56264113047668	-3.66787693016388	28363.8131687543	25530.6157288559	9274.60773946097	3790.43697867531	-0.151823166332707	0.564288044827793	0.701679916611951
Gal-[1130].SDB10	15682	30026	11500	7887	2345	3797	5567	4848	-2.98346385740482	-2.49299946152174	50617.1990937152	82661.6539089733	22375.9672159427	6810.31852044427	0.707590551673121	0.00737711132034305	0.0301407691088302
bMan-[1160].SDB11	3917	6679	1335	1424	964	1718	4009	2321	-3.63839117681947	-4.1795477700899	26294.613338059	15305.4275740262	4114.59428951776	8901.43339134634	-0.780723933455617	0.0193299540563395	0.0630616427012738
bMan-[1430].SDB12	2014	3517	718	843	730	1003	3603	1949	-3.88287621272841	-4.80168769450284	20591.5143516428	8215.86946402157	1826.0363334002	9689.44784439621	-1.32556476826781	0.00237916621705654	0.0120645662779817
H-type1-[700].SDB59	536	919	812	973	97	130	333	273	-6.02990148117021	-5.28425856452709	2405.73097674555	5070.79045865283	2912.54491301878	585.134415518576	1.07573533811501	0.0311340507667887	0.0923686568392279
Ley-Di-Lex-[320].SDB40	926	2051	1189	917	108	179	306	276	-5.95851998501351	-4.9399281684349	2583.73310738091	7155.11231677179	3119.36428688386	315.517831918038	1.46951736246803	0.00076566950088432	0.00531508439934261
Di-N3-[160].SDB82	938	1908	1499	1834	354	684	1543	779	-4.6176526259752	-4.65294725469888	9875.95142525055	9533.462941078	5361.01381948117	3763.89105796176	-0.0509193858296776	0.910159570984605	0.947254866454138
A.tetra.type.2-[1050].SDB24	165	265	81	104	42	66	104	119	-6.92641960554214	-7.16149546141716	981.508773378776	775.893366585529	15.9322965387365	56.547563171867	-0.339142771503616	0.029203638100224	0.0881038027074268
Tri-BN3-[840].SDB81	825	1388	361	452	228	385	638	436	-5.27057944653357	-5.6020058354193	5140.63098905196	3690.45384444095	279.25410836129	1102.69142628886	-0.478147207665176	0.0209786473221776	0.0669630930149865
LacDiNAc-[840].SDB34	236	473	427	335	46	47	78	82	-7.15514666813993	-6.08907969902261	780.835023355114	2267.49473249563	1393.12921160509	132.288676522303	1.53800952960109	0.00563863922525355	0.024434103309432
Tri-AN3-[860].SDB80	390	708	186	167	107	175	320	214	-6.00644410313938	-6.35754980673663	2462.83019851623	1733.60918984748	331.57310270363	545.127683801733	-0.506538457407587	0.0443525796961079	0.12150227771156
Gala3Lex-[650].SDB23	923	1207	260	354	261	414	661	739	-5.09423534114213	-5.72841951069873	6131.99372592746	3252.21326208861	848.536495190544	388.285073515413	-0.914934356429594	0.000874485782934611	0.00584352649344156
