sequence	20171016-87YGafEV1	20171016-87YGafEV2	20171016-87YGafEV3	20171016-87YGafEV4	20171016-87YGpgEV1	20171016-87YGpgEV2	20171016-87YGpgZQ1	20171016-87YGpgZQ2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
aMan-[1030].SDB28	5685	1779	729	848	5511	1634	3962	1913	-3.46580293239765	-3.5067982381212	31247.9053952658	29992.7906423495	19037.0413130632	3860.47616629165	-0.059143724267087	0.879611353517695	0.935896008579095
Gal-[1130].SDB10	4572	3841	1731	2056	7921	2376	6325	3224	-3.03871194668926	-3.05555060431937	47896.543080009	47096.781938403	5136.90700108886	2598.26833804213	-0.0242930478581942	0.812212310638042	0.887969116370336
bMan-[1160].SDB11	1181	1018	565	547	3386	1038	2555	1201	-3.92810534773896	-4.33908932714707	19680.9257614768	13048.4056231701	1060.07114952272	2181.87737370535	-0.592924548976883	9.18958118948556e-05	0.00128834324519258
bMan-[1430].SDB12	726	509	370	371	2452	917	1795	820	-4.21347916602051	-4.83731448290563	14794.8051083681	7928.31711880122	802.68095570074	3047.62623558067	-0.900004118001565	5.67366002160545e-05	0.000965873075106642
H-type1-[700].SDB59	561	405	361	432	857	283	623	339	-5.2665112231761	-4.90528284427014	5161.58682171537	7407.34766074679	2051.71106073558	585.600393290133	0.521142390875989	0.0158040706441081	0.0548539345171713
Ley-Di-Lex-[320].SDB40	352	249	227	236	588	205	438	276	-5.5817764550706	-5.41940995683172	3765.86967484105	4429.75962627528	1057.801929067	441.862900245522	0.234245341815736	0.219143307742411	0.370394545243083
Di-N3-[160].SDB82	636	497	479	455	1499	464	1175	665	-4.67844343310611	-4.73839844226088	9293.46853978768	8752.65284514428	2441.55726286379	586.174560454747	-0.0864967943840286	0.62285333233555	0.749730862996495
A.tetra.type.2-[1050].SDB24	186	98	103	87	284	84	200	139	-6.35099770749049	-6.26006715352135	1745.00526264395	1911.11745405661	446.998390979208	242.302314733736	0.131185059276565	0.534596747260549	0.682565489805879
Tri-BN3-[840].SDB81	405	283	146	205	739	244	567	281	-5.41139973723448	-5.50717198728297	4465.38546856474	4057.56602130669	456.083044563064	467.843238124429	-0.138170150199738	0.328673295104269	0.485540095040397
LacDiNAc-[840].SDB34	162	143	276	259	174	67	99	71	-6.86821265689461	-5.53430821749355	1040.33483918259	3948.93949856136	2558.56892199223	268.383621631519	1.92441731974367	0.00195044179833535	0.0106455411130517
Tri-AN3-[860].SDB80	210	137	85	78	315	103	350	121	-6.16228438114038	-6.22910485429747	2107.43358728911	1971.21563232375	167.263626395743	315.286211822981	-0.0964015652535947	0.57240688805611	0.709308362149252
Gala3Lex-[650].SDB23	995	485	287	269	1791	537	1676	928	-4.42347201015436	-4.8919351495269	11992.5217596159	7506.88147189456	1828.1012629941	1061.98648758486	-0.675849448012045	0.000975078613348348	0.00635354977226683
Galili-tri-[680].SDB57	1036	782	596	777	1578	542	1179	700	-4.61111464417287	-4.32051447827701	9940.73175149267	13293.0428011317	3219.00302878086	1059.86147481446	0.419247418219469	0.0219493964624882	0.0694416746490224
P1.tri-[1220].SDB58	97	68	55	64	129	78	149	74	-6.79587296138438	-6.75905870748088	1118.38123910958	1160.32086137195	239.808632686637	313.709279260326	0.0531117415406177	0.833697575135804	0.907296447826636
LeA-[1380].SDB56	21	15	22	1	39	20	49	19	-8.05827514752329	-8.34668910913934	316.472202663917	237.18049862126	209.338301338079	70.2506243355686	-0.416093392146617	0.422719737876409	0.577905568989737
LNT-NAc-[920].SDB42	155	95	57	62	155	75	128	100	-6.72455807687716	-6.55326280907189	1201.05123456037	1425.45700833758	111.311992993765	303.506492555774	0.2471268333904	0.274846728801381	0.431416697002284
Lec-[1000].SDB67	213	153	113	93	325	112	230	138	-6.21528668851598	-6.08584473371485	1998.6432801928	2274.84187676186	288.179661061288	261.639542113827	0.186745266274562	0.284304639541632	0.440949712087347
Di-Lex-[490].SDB48	322	231	175	191	450	171	350	222	-5.80478790410586	-5.58920695998628	3013.09375013429	3737.99106605046	566.642731117827	407.580883418262	0.311017558991489	0.0779608366796644	0.181570026794658
Tri-Lex-[490].SDB49	937	703	456	512	1366	553	1512	751	-4.56252214765076	-4.56043173272324	10435.7053338579	10457.5431051162	906.298818517562	1065.00382170802	0.00301583124932927	0.977807558618046	0.987475147474439
Tri-LN-[730].SDB47	44	10	22	31	63	25	30	22	-7.95106268535743	-7.7342736659556	352.287594769989	437.570087080655	232.822354458648	124.488653226684	0.312760443210188	0.493671160852591	0.645315790922196
LNnT-[350].SDB88	1039	870	514	572	2480	829	2403	1195	-4.08308103809279	-4.4236003893767	16855.4532741818	11990.9822678199	970.959640697051	550.836643804002	-0.49126557942403	0.000121591936996729	0.00152523219215195
Lac-[80].SDB25	2861	2316	1184	1323	4606	1478	4161	1950	-3.52405278658375	-3.50755026307096	29479.7177326288	29970.2437944324	1796.91004485462	866.810722539089	0.0238081088340595	0.754960873206038	0.852759912073171
Lac-[220].SDB27	1421	1214	628	694	2272	702	1927	916	-4.26757135973604	-4.16339956788273	14015.7811425985	15554.5890539916	1093.84829897326	637.092461729664	0.150288127507276	0.0976010374627067	0.210830035606753
Lac-[650].SDB66	347	274	225	317	637	281	427	284	-5.46754830710411	-5.31053177450512	4221.56947274433	4939.29942567054	1644.81995553788	1082.56196769032	0.226526972918145	0.369493356020489	0.529434367844989
Lac-peg4-[1080].SDB9	1825	1400	988	1137	3629	1175	2479	1480	-3.83370866166735	-3.82312752538975	21629.2511250408	21859.3282709706	3278.31557430379	2776.32122579599	0.0152653528346549	0.903813017474255	0.944775303353936
