sequence	20190703-87YUbcBS1	20190703-87YUbcBS2	20190703-87YUbcBS3	20190703-87YUsbBS1	20190703-87YUsbBS2	20190703-87YUsbBS3	20190703-87YUsbBS4	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	25	22	15	4	305	0	20	-7.2094864298238	-7.10138383199493	739.536862028031	823.963906343865	479.286164977046	487.566541859379	-0.155959081794923	0.821172910969833	0.869477199850411
bMan-[<8].SDB126	246	75	243	5	646	3	50	-6.45889615677608	-5.03663760292959	1566.52395321499	6495.5522668934	2313.43323760533	772.098939040441	-2.05188536249623	0.00171457601221457	0.00841700951450787
bMan-[80].SDB125	397	269	832	8	351	7	70	-6.34188096801897	-3.9581279868692	1760.98675988163	19098.8341154376	11233.4634003731	506.625904615224	-3.43902860460906	0.000139140886101427	0.00107337254992529
bMan-[80].SDB89	229	75	112	5	176	5	19	-7.08841531617775	-5.3548122537537	834.719083905688	4725.35658219036	502.949881720771	467.418478522843	-2.5010605410291	4.74590784854396e-05	0.000427131706368956
bMan-[190].SDB88	468	493	916	4	139	5	27	-7.08904647235375	-3.67237465138755	834.192412024244	25416.0439856634	12899.143743577	483.289141112779	-4.92921549245301	2.09034325237118e-05	0.000282196339070109
bMan-[350].SDB87	1083	598	1300	1	183	1	62	-7.02678300381051	-3.2939659598172	887.783186784256	37106.3947194102	12096.9727433968	797.590811156678	-5.38531663791495	4.40116003296964e-05	0.000427131706368956
aMan-[160].SDB54	62	19	54	9	165	3	7	-7.21892316228092	-6.46741503401221	732.590875771909	1553.23560921824	427.18083662982	533.556400351989	-1.08419704984101	0.100151643376003	0.180272958076805
aMan-[160].SDB57	48	15	63	0	98	1	24	-7.7560570266844	-6.51851421965489	428.141407033386	1475.86027834148	778.015810590074	305.817859691129	-1.78539687058928	0.0246922702901412	0.0579731563333749
aMan-[460].SDB52	3811	1390	2086	299	141846	2033	59376	-0.252645958014492	-2.47267733444696	776742.832723511	84358.6999316977	5338.3041764969	760785.041739294	3.20282825739701	0.0211646998107038	0.0544235137989525
aMan-[540].SDB53	203	303	169	6	163	8	35	-6.72975326409956	-4.60194627549264	1194.82772866995	10032.2911288407	7982.20644807432	862.402413772233	-3.06977659043208	0.000793905452855248	0.00428708944541834
aMan-[1810].SDB49	132	16	46	229	4322	98	625	-3.63619996576335	-6.24917857273352	26352.2935572098	1932.04051535022	1006.10350518106	9911.57082759681	3.76973127822482	0.000270079078210577	0.00162047446926346
aMan-[1860].SDB48	2	0	0	0	30	1	7	-8.79510626554996	-10.6349625700759	151.472530611553	24.0599344929328	26.2492006789595	138.190556326963	2.65435156648793	0.0381455293071732	0.0823943433034941
(Man)3-[140].SDB18	1958	1119	1838	62	140	1	33	-5.81969260084411	-2.78904407999793	2968.51752432264	61479.955753709	14735.1143213149	4798.19462352964	-4.37230159170225	0.00228333353276103	0.0102750008974246
(Man)3-[140].SDB17	2715	1284	2484	4	488	6	41	-6.5380022532781	-2.54100987009564	1447.37710557572	78786.7951739015	15904.1474985871	606.894261541703	-5.76644108968829	7.69234922756043e-06	0.00016609930298739
