sequence	20190703-87YUbgBS1	20190703-87YUbgBS2	20190319-87YUbgBS1	20190319-87YUbgBS2	20190703-87YUsbBS1	20190703-87YUsbBS2	20190703-87YUsbBS3	20190703-87YUsbBS4	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	31	74	22	11	4	305	0	20	-6.34711510582913	-6.70368346000844	1751.79359263882	1226.38622809372	877.486628729381	1402.61824722821	0.514419396312425	0.459498556448601	0.636228770467293
bMan-[<8].SDB126	270	329	39	55	5	646	3	50	-5.64140786350779	-5.33643481817107	3547.86997182655	4812.99937666889	320.096245643815	2635.2687306427	-0.439983100112102	0.35904916981948	0.510227767638208
bMan-[80].SDB125	218	269	31	43	8	351	7	70	-5.66511824762138	-5.55734228153545	3464.73805146292	3859.01896661177	304.08172024966	408.264145484045	-0.155487851799181	0.596696215062384	0.717398213112925
bMan-[80].SDB89	86	110	6	16	5	176	5	19	-6.39085185285776	-6.59051767114854	1676.82718279124	1373.3288468533	442.179967427521	521.91020924701	0.288056885883143	0.494450562337014	0.651227569907287
bMan-[190].SDB88	68	88	6	12	4	139	5	27	-6.44042094911059	-6.79914610033704	1595.73481606022	1114.72660623535	288.08310997238	333.727385398349	0.517530996716544	0.164899505592397	0.296819110066314
bMan-[350].SDB87	52	86	5	12	1	183	1	62	-6.30567804763106	-6.91054525232794	1825.90769653261	997.213915012854	277.208862429323	1360.32469418071	0.872638916612561	0.125798800987166	0.261274432819499
aMan-[160].SDB54	26	30	5	13	9	165	3	7	-6.46141324176755	-7.37590105850914	1562.58583764859	626.162235369234	293.767568710511	1316.09118999579	1.31932703816647	0.0545335866715662	0.133855167284753
aMan-[160].SDB57	29	36	2	7	0	98	1	24	-7.01651355695818	-7.59664923568068	896.947203189582	502.131140827533	163.623381933884	576.60441746869	0.836958866735707	0.152907440521997	0.284724199592684
aMan-[460].SDB52	726	6814	209	696	299	141846	2033	59376	0.339763454367818	-3.01551436898683	1404615.29565061	49020.6143173588	38420.7069468429	1256896.92818072	4.84064267655847	0.00366966272335386	0.017932645569544
aMan-[540].SDB53	54	41	6	7	6	163	8	35	-6.12088586706404	-7.19415926983227	2196.50928568911	750.959174022004	218.203826236287	769.537635081514	1.54840621569175	0.00202607723634087	0.0124438104974733
aMan-[1810].SDB49	236	301	29	30	229	4322	98	625	-2.94529311503669	-5.58665952687945	52586.6436210506	3747.52548723917	965.281746947201	24980.1311039329	3.81068622353623	1.16281365719459e-05	0.000313959687442541
aMan-[1860].SDB48	9	15	7	2	0	30	1	7	-8.03766078777599	-8.14977733143307	323.063781666437	288.79965907542	317.284100131727	191.326378774084	0.161749981535676	0.823364331609975	0.838899507678088
(Man)3-[140].SDB18	134	127	34	25	62	140	1	33	-5.04570922411433	-5.95200783093681	6436.8935444697	2600.61368025886	954.32055384228	11446.5966139933	1.30751250562737	0.204438802750198	0.356119204790668
(Man)3-[140].SDB17	183	207	29	42	4	488	6	41	-5.77759379753605	-5.69286482309631	3096.15643157668	3369.92488866472	245.539292312601	1693.06992396878	-0.122238071243829	0.770716981567154	0.80035994239666
(Man)3-[300].SDB15	333	330	18	38	16	379	14	55	-5.3736578116239	-5.47103913693074	4637.1384719246	4206.85838400634	1915.4793281763	1601.58726209774	0.140491555095371	0.745109341025404	0.788939302262193
(Man)3-[300].SDB16	320	378	60	72	15	512	12	111	-5.18454514744807	-5.08551853792984	5602.48434014427	6185.67874950119	632.682391912133	302.388130516841	-0.142865198467997	0.584445840628157	0.717398213112925
(Man)3-[1160].SDB13	82	83	22	34	1	166	15	37	-6.01982361742408	-6.21094422034752	2430.09818420313	2007.34119656155	776.299004244771	2625.35100250763	0.275728746049359	0.663848839406872	0.746829944332732
(Man)3-[1400].SDB12	158	194	41	67	11	300	7	78	-5.61098591268502	-5.5127413236058	3657.4616417492	4035.03088261379	1338.82472629701	599.223561606097	-0.141736981458763	0.686349101478262	0.756384724078085
Gal-[<8].SDB107	19	39	6	6	0	39	0	1	-8.309908380227	-7.55821626192356	246.066586894201	521.805178023503	138.654231590593	207.179340602036	-1.08446249135168	0.143322237273619	0.276407171884837
Gal-[<8].SDB132	339	487	41	89	8	723	10	81	-5.28797843480016	-5.03592113059294	5051.9628158696	6500.20781799155	1169.52762796095	2111.54006857006	-0.363641822799592	0.309646432015262	0.476307030182544
Gal-[110].SDB130	291	403	51	56	6	502	7	63	-5.60256600538204	-5.19349164326669	3688.38714195478	5552.58528110818	596.503644892989	1383.45170364319	-0.590169553578631	0.106260861758959	0.229523461399352
Gal-[110].SDB129	103	116	15	21	2	369	2	62	-5.96414065959784	-6.31519627440747	2569.25152063996	1808.61074176021	139.479185693866	1661.22632050345	0.50646619456208	0.314829126142192	0.476307030182544
