sequence	20190815-87YUqkBS1	20190815-87YUqkBS2	20190815-87YUqkRC1	20190815-87YUpgBS1	20190815-87YUpgBS2	20190815-87YUpgBS3	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	8	29	1	24	56	126	-8.21203660971104	-8.62311499721578	271.367488458824	179.898996123382	62.0910593247077	91.6979645697065	0.593060751069719	0.314992721702114	0.408629937410971
bMan-[<8].SDB126	102	412	38	734	957	2802	-5.12789459144491	-5.85202736285323	5929.03037323011	2874.06647199744	452.948702673	1585.76608707375	1.04470275825596	7.06910344947208e-05	0.000347028714792266
bMan-[80].SDB125	108	414	39	770	881	2315	-5.21520631834873	-5.82282357794936	5433.31236879629	2959.23769895869	460.328261580558	952.559946865847	0.876606407184374	0.000824682003867039	0.00278330176305126
bMan-[80].SDB89	49	216	10	392	355	800	-6.09389066372129	-6.7114861261117	2256.6120943673	1216.8543811114	253.444935943452	466.785835295184	0.891001910866166	0.00500631881641231	0.0142284850571718
bMan-[190].SDB88	183	582	44	535	670	1630	-5.548300645308	-5.48657794175491	3894.06902847557	4141.99409456361	508.465780482438	558.094848485035	-0.0890470383263103	0.72864923549122	0.786941174330518
bMan-[350].SDB87	106	432	27	480	767	1872	-5.483393636835	-5.9294609039951	4155.20448853587	2659.91555217504	187.679377461712	931.704100479592	0.643539034234776	0.0170942865455912	0.0401344118896488
aMan-[160].SDB54	3	28	3	40	79	89	-8.07883979236	-8.73925755784423	310.030526621699	160.172762786522	96.5452948927249	82.8328666832542	0.952781435179061	0.107316404407591	0.193169527933663
aMan-[160].SDB57	5	36	1	77	89	154	-7.65657928880783	-8.63028662765119	472.922377924128	178.613442275944	73.1153174385947	58.7297159636296	1.4047627490265	0.00672618710258326	0.017295909692357
aMan-[460].SDB52	1026	3468	215	5979	2621	2528	-3.87570660906047	-3.78474928569122	20739.6778505767	22714.5569273383	3545.80519282579	18557.0870162728	-0.131223679357356	0.85673283797275	0.872897608500538
aMan-[540].SDB53	47	236	10	202	220	378	-6.73057589759637	-6.68600979740257	1193.84522753201	1248.25363388696	308.599053344572	194.043499932936	-0.0642952917413592	0.849603721201802	0.872897608500538
aMan-[1810].SDB49	3	20	0	0	2	24	-10.3509625577772	-9.21501678065248	31.9620096852607	99.5334508698092	64.7512305144722	35.7497118898627	-1.63882333937654	0.0806695221773904	0.155576935627824
aMan-[1860].SDB48	0	1	1	0	1	0	-12.988335028591	-11.4024715615367	2.28685046786736	11.1678486791771	50.2492710167531	2.94928599579294	-2.28791735944628	0.39613396981165	0.486164417496116
(Man)3-[140].SDB18	99	319	19	361	583	835	-5.95018892582598	-6.15345154339309	2605.34825433835	2126.13065876773	421.636521201025	340.878145563245	0.293245970362186	0.324390137660213	0.408629937410971
(Man)3-[140].SDB17	78	238	40	186	548	1030	-6.06581580764251	-6.07484185589255	2320.8638635265	2300.00989037658	1084.97229886786	879.309012600223	0.0130218350491623	0.968062441537054	0.968062441537054
(Man)3-[300].SDB15	271	889	67	882	1875	3928	-4.7243998917381	-5.07586398718212	8876.03889625889	6245.68791353487	656.327547919954	2424.44721476385	0.507055507547618	0.11442154185132	0.199314943870041
(Man)3-[300].SDB16	238	775	76	809	1471	3072	-4.9298122185909	-5.12259415027425	7227.86041176342	5960.5402843659	938.599387690064	1439.66731420155	0.278125536812565	0.325390505716144	0.408629937410971
(Man)3-[1160].SDB13	68	445	15	280	166	243	-6.76311633353551	-6.19178202971642	1155.62225225912	2046.17715390148	782.898636181895	698.288072662937	-0.824261166809554	0.0294300695612866	0.0611239906272875
(Man)3-[1400].SDB12	120	657	21	265	995	435	-5.90974169568876	-5.7651789861778	2712.88754744041	3134.8342215688	1167.25185754677	2077.37861785974	-0.208559904108927	0.775854973003288	0.82149350082701
Gal-[<8].SDB107	2	15	0	14	10	44	-9.28915870226732	-9.50179977710106	92.4207809758511	74.7172344355343	48.2757526956272	35.9478374332125	0.306776224151931	0.72105601992046	0.786941174330518
Gal-[<8].SDB132	138	664	49	786	1333	3400	-4.92779781892877	-5.50369485472355	7242.43488581429	4071.69927358743	460.507749978707	1987.0508444801	0.830843797603785	0.00190647252011181	0.00571941756033544
Gal-[110].SDB130	148	571	47	629	1183	1889	-5.25422137544479	-5.54855734857229	5225.41334356053	3893.06953653652	292.019781760856	820.112346712585	0.424637048786271	0.094915991432293	0.176740121977373
Gal-[110].SDB129	73	363	39	409	686	1260	-5.71808247825797	-5.98086830045704	3286.00585272967	2526.63146422692	842.637811925547	365.022202369556	0.379119802502518	0.182189031023945	0.273283546535918
Gal-[380].SDB127	737	2699	133	2387	4136	9454	-3.84752501171168	-4.1265412534317	21332.4687658692	16138.6017346891	3665.09518625469	4725.60585941331	0.402535348256955	0.545789141630983	0.627076886129215
Gal-[510].SDB128	106	511	42	926	1141	2078	-5.11268222606751	-5.72988426320073	6019.91447804277	3247.45306168473	526.796076066843	402.275492426442	0.890434318198671	0.000574347934556314	0.00206765256440273
Lac-[80].SDB25	155	457	52	619	890	1746	-5.38798913954116	-5.56384167009174	4571.15605702155	3834.0190330467	878.390093728342	249.421885230684	0.253701573753106	0.322583304625471	0.408629937410971
Lac-[140].SDB24	67	174	10	222	323	482	-6.49398612021275	-6.66589005718511	1512.5079373887	1273.62252469275	427.362589665401	162.326220817598	0.248004957379319	0.450945731023837	0.541134877228604
Lac-[320].SDB23	166	523	51	494	1101	2145	-5.29661846839731	-5.50808175927656	5008.50171047889	4053.87624006268	638.291338632252	1349.0256956732	0.305077041081549	0.229504420334013	0.334952397244236
Lac-[490].SDB22	185	478	33	269	904	1238	-5.71037795028967	-5.62109972618204	3311.42075592387	3620.65718725074	1006.59135693384	1371.17588713954	-0.128801251179449	0.646859077293178	0.727716461954826
Lac-[840].SDB21	191	752	75	927	1029	2489	-5.08135435635966	-5.20875759569892	6211.49074456682	5468.46351150123	1084.72172585857	849.517799958019	0.183804021587937	0.489339306609439	0.574441794715429
Lac-[1190].SDB20	13	50	4	0	50	39	-8.99076811164889	-8.00435124924616	124.554384811008	334.006117513654	19.6684163195254	128.219415291694	-1.42309871563766	0.125813062991094	0.21230954379747
LNT-NAc-[30].SDB71	12	72	3	95	145	285	-7.21833938264613	-7.89134141543133	733.018672263105	373.967592478442	102.01092364394	62.2436149442942	0.970936695207395	0.0205971283397947	0.0458728668412791
LNT-NAc-[80].SDB70	121	585	39	1102	1737	3748	-4.71193482907136	-5.66452985828823	8987.37172110218	3466.77726624182	325.915171941752	1330.82008969704	1.37430412462665	1.62329238467677e-06	1.48511009663589e-05
LNT-NAc-[160].SDB68	5	14	0	80	83	113	-7.75105711301799	-9.28967291776136	430.287437618652	92.373268995048	66.0690308195924	123.89757354603	2.21975339133663	0.000283659527529418	0.00109411532047061
LNT-NAc-[220].SDB69	24	99	5	161	154	480	-6.8285613142488	-7.43525939152696	1082.4142519019	590.075896308304	102.657446602209	273.568529898329	0.87528030740607	0.021237438352444	0.0458728668412791
LNT-NAc-[1030].SDB67	8	61	5	26	49	83	-8.41137704400174	-7.98832709402346	222.323496793908	339.401395324016	127.650728480234	35.0281268965935	-0.610332064881986	0.250413932561049	0.355851377849912
LNT-NAc-[1490].SDB58	9	67	3	247	93	175	-7.02403145564934	-8.00488109696097	890.229328774807	333.829192011484	105.643858104119	721.338575509618	1.41506691337801	0.00574912375031976	0.0155226341258634
Galf-[160].SDB84	86	272	19	411	696	1110	-5.75442527487661	-6.2656845255066	3168.72723498379	1900.41209255905	280.369564215758	349.465023006383	0.737591185492496	0.0140363358237097	0.0344528242945602
Galf-[110].SDB86	18	118	2	125	134	275	-7.16447235658315	-7.53681500371289	773.587047910871	533.092819416685	289.427339961928	95.8635446930634	0.537176890525547	0.168897799977559	0.260585177108233
Galf-[140].SDB82	7	48	5	86	62	128	-7.76940032137277	-8.14547396347825	422.466535013482	290.045148250652	135.091627406266	155.04179619633	0.54255957847463	0.266779624188362	0.369387171953116
Galf-[160].SDB83	37	189	11	163	298	660	-6.50267596980352	-6.84304149783208	1499.42141322194	1066.85362706284	142.003328447158	343.15328004337	0.491043659376368	0.147676862942055	0.241653048450635
Galf-[840].SDB81	8	75	25	29	48	10	-8.77713671361882	-7.12009223317739	154.219026865716	808.692159436857	1109.97678721639	115.357423865515	-2.39060985446528	0.154242238821854	0.244972967540591
Galf-[1300].SDB80	5	19	7	8	18	28	-9.47465570972044	-8.51056410214814	76.7731406791887	201.330222062659	291.588029685807	18.0876012817529	-1.39089018120723	0.0766261623548653	0.153252324709731
(Galf)3-[50].SDB34	13614	20176	18425	300	404	677	-6.20827035874197	-0.337995496291355	2012.7157312952	713198.499929299	826883.919672487	122.025323890978	-8.46901643271264	3.46053196566439e-08	9.34343630729386e-07
(Galf)3-[80].SDB29	12682	18424	9996	3296	1289	2483	-4.40858095395515	-0.802083028088263	12172.4393318302	448393.973408127	404925.642484874	9437.72710480551	-5.20307667262449	4.60707047898299e-05	0.000248781805865082
(Galf)3-[80].SDB28	5505	8765	4465	339	628	1089	-5.85486126057292	-1.60941713727922	2865.93319146195	200004.155074138	180125.802310836	436.781660859388	-6.12488118304702	1.84161132690085e-06	1.48511009663589e-05
(Galf)3-[140].SDB35	1579	2597	1475	44	91	256	-7.60670091315216	-2.76025170845774	497.10916248822	63275.8392910643	61324.902495532	201.651404040597	-6.99194823353291	9.62769731997882e-10	5.19895655278856e-08
(Galf)3-[270].SDB26	8001	13121	6216	2020	2572	3766	-4.37680143021821	-1.26107610821348	12565.4859955582	283348.948250112	247011.823936413	1925.80740921046	-4.49504147082838	0.000184810262392503	0.000767673397630396
(Galf)3-[1190].SDB27	865	1501	372	797	885	627	-5.53618261521896	-3.82919836139614	3941.54454805182	21727.0258732417	11933.0496572117	1985.87686185484	-2.46265771786572	8.47342028815602e-06	5.08405217289361e-05
(Galf)4-[80].SDB10	42105	58806	35970	789	1572	3061	-4.91412674771336	0.449422486316571	7342.12662264924	1567406.72522617	1490739.22967504	1589.10709068039	-7.73796588149877	3.83283009838324e-07	5.64532928025232e-06
(Galf)4-[1380].SDB6	2699	4417	1465	1808	2227	1706	-4.64787513047457	-2.56995653743836	9581.94068805047	76538.8719270611	52138.0989842534	4260.95632372319	-2.99780284954431	0.00185800133171872	0.00571941756033544
(Galf)4-[50].SDB11	34213	52239	27353	906	1293	2143	-5.06841221141921	0.204460886200276	6292.40321917196	1226863.4676153	1105219.121173	341.115345023959	-7.60714786917247	4.1817253927795e-07	5.64532928025232e-06
(Galf)4-[50].SDB9	7605	14410	9263	791	745	1359	-5.43364829211996	-0.983030786290319	4367.13412293026	374175.333119398	401733.494303858	1013.10017787747	-6.42088380455404	1.92514271786134e-06	1.48511009663589e-05
(Galf)4-[50].SDB8	22860	46001	19933	1651	2117	3309	-4.55556427251346	-0.112891601131999	10508.5688622511	893247.481884117	794813.322852557	1230.27342677696	-6.40942183129496	4.7246326728671e-06	3.18912705418529e-05
(Galf)4-[650].SDB2	1418	2842	1079	858	979	687	-5.44914955000112	-2.98485019048549	4299.96003719614	50547.0754147793	41311.312964724	2139.98095003516	-3.55523246523905	9.233692737623e-05	0.000415516173193035
