sequence	20190815-87YZsdBS1	20190815-87YZsdBS2	20190815-87YZsdBS3	20190815-87YZpgBS1	20190815-87YZpgBS2	20190815-87YZpgBS3	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
Gal-[1130].SDB10	33	144	83	362	253	150	-5.67137097665987	-5.97237034210864	3443.14157206708	2548.19416286622	672.600623318725	748.754294437676	-0.43425029184367	0.268674113597739	0.458459516234122
Lac-peg4-[1080].SDB9	17	40	29	184	54	81	-6.52805000482217	-6.99987452304802	1461.85367988345	911.996392902963	32.4782441813476	740.391655656587	-0.680698892614272	0.232757912402168	0.426990377234322
Lac-[650].SDB66	74	141	110	487	203	160	-5.57692152790724	-5.64177214121902	3784.19715110157	3546.57779724297	515.798645722893	1710.23447470193	-0.0935596582235139	0.806154630017755	0.916397998225311
Lec-[1000].SDB67	262	918	525	1449	1278	807	-4.12332962388051	-4.06979015799727	16190.5162654327	17080.9724369069	2911.91875659404	993.781307676272	0.0772411219215996	0.643015191182656	0.806857016264068
LacDiNAc-[840].SDB34	28	171	86	343	273	119	-5.72558717514486	-5.9174511190593	3261.43767849425	2692.05316251877	1108.61334111368	930.477608271214	-0.276801160410759	0.525791255150094	0.716398122574693
Galili-tri-[680].SDB57	16	25	17	129	65	34	-6.90646193797676	-7.33561845129594	1001.29417773154	651.90060674828	202.660946083935	464.173924577032	-0.619141973530773	0.339347196161083	0.537630934397895
P1.tri-[1220].SDB58	4	7	8	42	4	26	-7.97063234676987	-8.47401345196831	345.460466001419	208.825109707076	48.6787220267361	253.961063233838	-0.726225424147001	0.555074338822442	0.730939475875097
LNT-2-[970].SDB54	14	18	11	0	16	8	-9.03568147601941	-7.60293835373987	119.083994700544	498.983088414551	238.150301529802	106.035522127052	2.06701139738046	0.146963208238016	0.306651281633631
GNLN-[1130].SDB55	20	126	76	291	196	100	-5.94865999377116	-6.16250183471505	2609.33470152526	2106.97536814466	868.362719993803	782.764756385952	-0.308508563464329	0.525611407166134	0.716398122574693
Gala3-type1-[410].SDB112	1176	3906	2935	3951	4745	5169	-2.68757531717618	-2.51290365272184	68045.728819859	81032.6067598238	13686.990948922	25906.7089612584	0.251997944092097	0.414875772682243	0.609706936649042
