sequence	20190815-87YZrdRC1	20190815-87YZrdRC2	20190815-87YZrdRC3	20190815-87YZrdRC4	20191002-87YZrfRC1	20191210-87YZrfRC1	20191210-87YZrfRC2	20191210-87YZrfRC3	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
Gal-[1130].SDB10	53	46	63	62	52	20	15	14	-6.24382045125867	-5.84258558535258	1942.42040665164	2901.33127972413	377.939146614849	570.971740517325	0.578859551274455	0.0426652180531434	0.14549933336072
Lac-peg4-[1080].SDB9	5	4	3	9	21	2	7	4	-7.38215983220141	-8.20154893283324	622.255466188567	274.228479343253	81.6810764766896	219.149995823408	-1.18212859204	0.0226793833734795	0.0957573964658023
Lac-[650].SDB66	23	17	26	38	68	2	28	13	-6.23323748787872	-6.62721474029771	1963.08613010274	1323.84520851776	146.821268055768	1188.33963800899	-0.568389028287933	0.0827296597832674	0.209581804784277
Lec-[1000].SDB67	315	214	301	445	755	151	271	167	-3.70552458618449	-4.1279490403071	24587.315817755	16115.8980077339	1191.1212513437	4114.2465364161	-0.609429665112909	5.91284316781573e-06	6.04929339476532e-05
LacDiNAc-[840].SDB34	98	53	50	70	72	23	34	22	-5.81793218114491	-5.64949582679952	2973.74796358324	3519.2906597373	1171.76994811996	596.440483236023	0.243002293119508	0.344993376793124	0.53839156815717
Galili-tri-[680].SDB57	3	0	4	4	17	3	4	0	-7.74480571757176	-8.82423481711628	432.985759899045	147.123995914665	90.0262240091251	247.84548537649	-1.55728700890413	0.0150396467908266	0.0666757674393313
P1.tri-[1220].SDB58	7	6	7	13	12	0	0	0	-8.44904620172163	-7.75984010476776	214.104530542459	426.524774511452	68.9587856794031	200.118580418325	0.994314218225785	0.104757691606097	0.246597751922317
LNT-2-[970].SDB54	10	1	7	4	14	1	3	1	-7.97410277370223	-8.14946746835038	344.263648630952	288.889161294063	205.264852596523	162.583913292573	-0.252997775315892	0.665893548420628	0.823303528628883
GNLN-[1130].SDB55	41	32	58	57	53	4	11	11	-6.58778048334237	-6.02861633726498	1377.09305514911	2408.82467474571	402.221200852754	499.446740925943	0.806703340588761	0.00881738577392493	0.0451043195358468
Gala3-type1-[410].SDB112	3279	2612	3253	3969	3179	893	1170	1001	-2.09958740253335	-1.77742300175892	122506.963889776	169073.287915015	9972.11876015541	11142.3609736025	0.464784983348229	4.77456441029444e-06	5.29180888807634e-05
Di-LN-[270].SDB149	562	437	719	960	1659	335	608	398	-2.89379038561287	-3.39091495293801	55365.9560632105	33677.8491517267	4435.48251456675	8658.21638343189	-0.717199147984046	5.68463104059449e-09	9.45069910498834e-08
LNnT-[350].SDB88	12	17	6	13	34	8	15	5	-6.75964911925604	-7.36564323398454	1159.63599646848	632.618353958487	368.060537956584	420.54172774782	-0.87426470412671	0.0258117410275929	0.105629586359072
LNT-NAc-[920].SDB42	332	232	285	357	431	122	177	122	-4.09593586441315	-4.16446866672397	16640.1660543159	15537.9685469236	1491.41336407794	2317.28709184874	-0.0988719340320434	0.461932563217378	0.657103432071645
P1.penta-[190].SDB118	647	479	616	722	905	201	235	181	-3.60827466938623	-3.44864491820543	27098.5605325792	31788.68347156	2437.4294998209	3189.6858403572	0.230297050406876	0.059404662947071	0.173644399383746
P1.penta-[860].SDB13	459	309	432	557	251	75	90	57	-4.70826870652625	-3.79788242425491	9020.38099824614	22418.1938521609	1208.74788969992	1579.98257234194	1.3134097747262	1.36554246253754e-16	7.26468590069971e-15
3'GN-Di-LN-[80].SDB150	49	26	52	73	191	31	33	34	-5.32131484535583	-5.98366745985791	4886.32473821472	2519.56890923133	475.791975245802	1167.60484324669	-0.955572832261996	0.000108768376438437	0.000876739034321947
Tri-LN-[730].SDB47	20	9	19	23	22	3	5	4	-7.39054178407326	-7.00412971739764	617.061548810826	908.123915919246	189.16484733548	129.101061893646	0.557474772332581	0.167525626305496	0.340166538910396
Di-N3-[160].SDB82	3	1	1	1	21	3	5	2	-7.49141757776826	-9.38010872572517	557.851601677133	84.3860271025528	53.4899945904875	189.631921278353	-2.72480535292832	6.89108199817342e-05	0.000572821191098165
2'FL-[160].SDB153	19	16	37	43	75	19	23	16	-6.00591529483663	-6.53243788656743	2464.13290798489	1455.45329115084	445.89867410098	296.043153228953	-0.759611532006021	0.011208050443475	0.0532382396065063
H-type2-[240].SDB152	695	526	620	827	1003	232	286	255	-3.42023427697624	-3.37216231965864	32704.7720663294	34315.3562932214	2358.88428160086	796.287966541668	0.0693531744279147	0.555067382389901	0.730939475875097
H-type1-[700].SDB59	15	7	9	5	27	3	7	8	-7.10002575385132	-7.65338311011094	825.083673910012	474.436340512391	241.584811906095	253.267756388365	-0.798325913715171	0.0713447596353434	0.189777060630013
Gal-[110].SDB130	26	21	13	28	72	5	18	19	-6.21332163821473	-6.77692203698634	2002.5745761047	1139.77769840928	348.607465314505	800.293943510949	-0.813103500350842	0.0121421190261335	0.0556862700164054
H2-[300].SDB76	4932	4102	4719	7219	4421	1180	1717	1287	-1.78733356330275	-1.31920792708249	167405.952452086	267346.976423585	19251.426755702	17796.2862599131	0.675362533887965	4.11687897028124e-11	9.12574838412342e-10
Tri-AN3-[860].SDB80	200	162	210	261	282	60	64	73	-4.75054226727174	-4.53816018090806	8647.00494376889	10693.0617661495	396.369109524287	1053.72083689074	0.306402582770532	0.0495163013309129	0.152285888922376
LeA-[1380].SDB56	10	3	5	6	7	2	3	2	-8.2159104381459	-8.06457542372007	270.318290883506	314.484608150274	147.191825701447	43.3616534237754	0.218330274825011	0.718175249498332	0.841562186636812
Tri-BN3-[840].SDB81	34	43	69	117	38	8	13	6	-6.7293974505199	-5.72156407675328	1195.2529402447	3274.58519231062	1176.07920609056	288.977870625621	1.4539962103755	5.47431301332617e-06	5.82466904617905e-05
A.tetra.L-[890].SDB29	257	172	230	288	121	39	34	37	-5.41770820992138	-4.41102388826077	4437.30437383751	12142.7391547648	938.884772145526	806.814192270277	1.45233847860043	3.38196488395534e-14	9.99558510146801e-13
Gala3Lex-[650].SDB23	58	45	67	86	18	1	10	6	-7.31782502954676	-5.72539349890505	663.603961771	3262.06940265319	206.730358862719	401.090229467846	2.29739307221201	3.60178047200224e-10	6.38715737035064e-09
B.tetra.type.2-[1000].SDB26	39	27	29	30	23	8	7	7	-7.056312243409	-6.41782438548425	861.950905232682	1632.20342018872	385.605638261487	176.067321771038	0.921143266295848	0.0096705841589037	0.0476365812271923
B.tetra.type.1-[350].SDB105	510	366	579	829	1513	269	487	223	-3.14522718530123	-3.55162431823996	43057.1409860443	28678.0195712887	3292.94017943542	11747.8545585944	-0.586307128322198	0.00192305027003788	0.0116257129961381
A.tetra.type.2-[1050].SDB24	120	76	127	151	82	20	12	14	-6.09039565832962	-5.11099118147805	2264.51276420359	6030.10303407318	578.294854498675	743.484244039182	1.41298198177822	9.08193663607523e-09	1.34210841399778e-07
A.tetra.type.1-[380].SDB106	43	18	47	48	50	10	9	8	-6.59671643200609	-6.22397243980069	1364.84224015015	1981.35873504959	527.379315121905	328.10866109368	0.537755909075891	0.0861763896916946	0.21393775177357
Lec-LeX-[510].SDB1	67	70	87	85	55	9	20	13	-6.32572372925917	-5.51591308747838	1789.6705447902	4022.25299237311	726.747189129581	387.413895965392	1.16830979695626	2.69438975886466e-05	0.000255967027092143
Di-Lex-[490].SDB48	135	186	123	405	12	0	1	2	-8.19529751390829	-4.54892152824652	275.948166089437	10578.6069628683	4599.92312656559	173.775007658524	5.26060855173083	1.89713244486824e-05	0.000186902677901834
Lex-LeA-[190].SDB113	761	629	926	1199	511	138	147	120	-4.07099504498649	-3.11004394249451	17060.4041891498	44598.9955060998	3675.12223580125	1933.44027621094	1.38635939010197	4.5332078782537e-21	4.01944431871828e-19
H3-[810].SDB77	409	274	402	493	824	201	260	213	-3.5749542187291	-3.90491395625784	28016.7083853783	20142.6875689428	1209.19931517528	921.654177710365	-0.476031277025747	0.000177182573329826	0.00136679438536716
