sequence	20180222-87YYrdRD1	20180130-87YYrdRD1	20180130-87YYrdRD2	20180222-87YYrfRD1	20180130-87YYrfRD1	20180130-87YYrfRD2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	41	40	22	124	214	129	-5.59975428927484	-6.72067460382148	3698.77243289437	1205.72455314834	847.915388532568	1073.81568049866	1.61714617902814	0.045716471858714	0.28615849943765
bMan-[<8].SDB126	181	455	380	509	873	866	-4.05640612340125	-4.61396847514891	17311.121488787	9912.40302522067	2211.69436039344	1017.38993992668	0.804392439852726	0.0442946203949019	0.28615849943765
bMan-[80].SDB125	261	504	670	598	1112	894	-3.90702043162584	-4.28501997870288	20100.3021513255	13773.3463449514	244.135601369688	2525.97348344904	0.545338072026327	0.127247611035347	0.343568549795436
bMan-[80].SDB89	1610	651	866	564	1205	1322	-3.7708401919888	-3.22186759848758	23032.703262534	39880.5078910229	38155.5047394117	2473.12146084341	-0.792000038228173	0.299818604149766	0.500452279739053
bMan-[190].SDB88	82	522	848	192	715	704	-4.47122141576582	-4.41515806662674	11433.3424538502	12092.6425307889	6986.70095842668	3855.45283783526	-0.0808823157785764	0.886439301716205	0.927790435282173
bMan-[350].SDB87	130	1040	1377	201	443	621	-4.68185697570092	-3.84903527903561	9261.79897253393	21300.2753518033	12554.2021474646	2405.17686699173	-1.20150773172377	0.0635907776528111	0.28615849943765
aMan-[160].SDB54	94	370	424	107	534	796	-4.62150421035727	-4.83410922682579	9837.98652442563	7953.77017544009	2687.12180279357	5722.93800892893	0.306724202927249	0.59084574251079	0.731878173592872
aMan-[160].SDB57	5	35	90	19	78	106	-6.5554469865814	-6.84982800245145	1422.34695489001	1059.63793236151	816.605115953576	678.664884592661	0.424702031727571	0.601844797021999	0.731878173592872
aMan-[460].SDB52	353	206	340	1084	716	475	-3.87577195114751	-4.5709961240855	20738.3227210153	10347.6470416676	7005.48971349982	16277.0711424032	1.00299646660376	0.171377666861281	0.394682449425351
aMan-[540].SDB53	1672	3383	3900	988	5911	5604	-2.45573082736919	-2.44341303027916	85800.4671924844	86863.8759183287	4906.39631103872	43327.7691693013	-0.0177708247764645	0.976191320167569	0.976191320167569
aMan-[1810].SDB49	151	156	399	181	251	208	-5.2725359957347	-4.98754533131919	5130.58292456874	6822.39066391813	2264.33415246178	1313.1011562763	-0.4111546182519	0.352148373820738	0.500452279739053
aMan-[1860].SDB48	16	94	169	48	168	203	-5.81887591027133	-6.06050523422687	2970.94287484551	2333.22176619282	1370.27308915237	1105.62840432157	0.348597427404008	0.60989847799406	0.731878173592872
(Man)3-[140].SDB18	477	230	237	236	244	72	-5.32484540568051	-4.42376991979054	4869.10369182018	11988.9496039378	11150.2361352422	3596.00115853222	-1.29997713496008	0.143876480979696	0.353151362404709
(Man)3-[140].SDB17	514	337	474	305	302	367	-4.83147881571985	-4.18209930737972	7974.71940130273	15266.4249842756	9984.14841840889	2750.73594828426	-0.936856596337226	0.107147933515868	0.340352259403344
(Man)3-[300].SDB15	11065	4978	6909	139	445	555	-4.81526399921921	-1.253281991127	8105.08206009813	285566.032010662	252541.323544615	2840.95959523799	-5.13885377881034	0.000308280002290307	0.0166471201236766
(Man)3-[300].SDB16	9907	5014	6975	525	1269	570	-4.00919279522576	-1.32342639540063	18148.038509274	266221.557115386	217000.659411303	6775.86874167436	-3.87474186601392	0.0010667476516138	0.0288021865935726
(Man)3-[1160].SDB13	4742	2766	3269	1646	4118	4603	-2.57912316619479	-2.03847016684734	75840.4743685933	130227.78534766	101447.06522162	14665.7128215013	-0.779997401000303	0.26412823677526	0.491556613322388
