sequence	20190815-87YZrdRC1	20190815-87YZrdRC2	20190815-87YZrdRC3	20190815-87YZrdRC4	20191002-87YZrfRC1	20191210-87YZrfRC1	20191210-87YZrfRC2	20191210-87YZrfRC3	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
Gal-[1130].SDB10	53	46	63	62	52	20	15	14	-6.25696323219194	-5.82873375286546	1917.05862798356	2941.79966820491	388.070793742219	510.057765195143	0.617804546186775	0.0360841645486522	0.0937251027237719
Lac-peg4-[1080].SDB9	5	4	3	9	21	2	7	4	-7.39456920688212	-8.18916614918491	614.581378753795	277.645302504862	82.8143864367547	230.502057557474	-1.14636106816577	0.0284614489257684	0.0779765723993655
Lac-[650].SDB66	23	17	26	38	68	2	28	13	-6.24684201993727	-6.61456942969721	1936.56010809616	1340.69193391662	151.289122912412	1209.78748057589	-0.530518510459618	0.152311203603221	0.301606343768754
Lec-[1000].SDB67	315	214	301	445	755	151	271	167	-3.72131296084925	-4.11491373134811	24202.170473608	16327.3488870638	1188.20398579453	4748.16065322133	-0.567845879688788	0.000152207700442744	0.00076103850221372
LacDiNAc-[840].SDB34	98	53	50	70	72	23	34	22	-5.83064187204674	-5.63642476255022	2936.19171585275	3565.59348844201	1169.02509333617	607.442668662047	0.280196060726424	0.301172713328349	0.470898720001557
Galili-tri-[680].SDB57	3	0	4	4	17	3	4	0	-7.75830429613837	-8.81226239626694	427.180338222138	148.896012810283	91.3251898630292	247.959565919505	-1.52054012436023	0.025887703094558	0.0738091979867411
P1.tri-[1220].SDB58	7	6	7	13	12	0	0	0	-8.46500736760852	-7.74726639220201	210.714300598542	431.921632596861	70.5497600818136	201.857602883397	1.03548134586178	0.112241041225212	0.238810726011089
LNT-2-[970].SDB54	10	1	7	4	14	1	3	1	-7.98749405901538	-8.13667340767918	339.684246364166	292.608971750692	206.667805233066	168.020182495811	-0.215220306520306	0.72133973076443	0.844993331605505
GNLN-[1130].SDB55	41	32	58	57	53	4	11	11	-6.60386457358064	-6.0152529353992	1355.12094059658	2441.23081276388	413.847911670594	511.563861451152	0.849187091413897	0.0100919655541051	0.0360427341218039
Gala3-type1-[410].SDB112	3279	2612	3253	3969	3179	893	1170	1001	-2.11984607270414	-1.76419181817887	120050.106077515	171325.192454857	10027.2782161216	9845.72482736485	0.51310062927468	4.28812401624108e-06	3.06294572588649e-05
Di-LN-[270].SDB149	562	437	719	960	1659	335	608	398	-2.91009781120089	-3.37751768617648	54470.401793209	34132.0761871911	4588.34752320256	10027.2380674678	-0.674344335640225	7.54829063209939e-06	4.91818965723829e-05
LNnT-[350].SDB88	12	17	6	13	34	8	15	5	-6.7711334739943	-7.35046911855432	1146.39450584074	642.290979053755	373.790041696129	438.320929318929	-0.835804661416964	0.0444231403302956	0.109686766247643
LNT-NAc-[920].SDB42	332	232	285	357	431	122	177	122	-4.11325751290885	-4.15135895959387	16354.4129491676	15743.007829874	1451.11168709356	2436.22185290715	-0.0549687681831707	0.684419078818268	0.837107095450544
P1.penta-[190].SDB118	647	479	616	722	905	201	235	181	-3.62600718163796	-3.43546130852656	26622.2703669335	32210.5478037509	2397.41640691836	3537.52223093091	0.274899586199668	0.033911925556901	0.0892419093602658
P1.penta-[860].SDB13	459	309	432	557	251	75	90	57	-4.72463913850693	-3.78480637621701	8873.91558664052	22713.2601783567	1132.13454973458	1560.33360941704	1.35589206542065	6.24051997041923e-12	8.91502852917033e-11
3'GN-Di-LN-[80].SDB150	49	26	52	73	191	31	33	34	-5.33891440616596	-5.97140360002728	4801.0799049916	2550.65880053749	481.842529600415	1230.14927822769	-0.912489023399579	0.000647042404201638	0.00294110183728017
Tri-LN-[730].SDB47	20	9	19	23	22	3	5	4	-7.40393385581845	-6.99173188286711	608.852904338816	919.452767466193	189.687193848796	142.027304063027	0.594681742221551	0.136926777996409	0.279442404074304
