sequence	20180711-87YOrdRB1	20180711-87YOrdRB2	20180711-87YOrdRB3	20180711-87YOrfRB1	20180711-87YOrfRB2	20180711-87YOrfRB3	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	0	0	0	0	0	0	-13.6089591925905	-13.6089591925905	1.22943088277202	1.22943088277202	0	0	-0	1	1
Gal-[1130].SDB10	1142	1173	1094	1301	608	58408	-0.989768041958157	-4.70790149802296	371662.891220718	9023.69396708955	1925.1264385062	623267.364153392	-5.36413269842803	0.0138580326436032	0.0469763818427227
Lac-peg4-[1080].SDB9	295	627	472	282	126	201	-5.82889688290689	-5.65215591531778	2941.31981144374	3509.94147540284	628.101639425524	1298.28243914288	0.254983317462734	0.706088402973378	0.837107095450544
bMan-[80].SDB89	0	0	0	0	0	0	-13.6089591925905	-13.6089591925905	1.22943088277202	1.22943088277202	0	0	-0	1	1
Lac-[650].SDB66	212	537	144	34	69	20	-7.53195798918114	-6.14455960992593	535.688357167127	2145.12037364797	1000.21776347668	224.765628974983	2.00159276148889	0.177168058679903	0.34070780515366
Lec-[1000].SDB67	2280	1056	1207	440	674	259	-5.10349191832296	-4.36575770521354	6075.49435156563	12705.0248636645	7962.64924503869	1487.15626479104	1.06432549074708	0.0674994874122247	0.160713065267202
LacDiNAc-[840].SDB34	789	869	1178	344	344	343	-5.31372660106696	-4.88752149622141	4923.54440135446	7540.08747009344	2384.43997768039	1308.06530420206	0.614883991162235	0.258707754603338	0.448351518956356
Galili-tri-[680].SDB57	353	649	427	237	494	147	-5.56744318040294	-5.62397592433658	3820.23560943556	3610.25842135485	262.195111456862	1603.43527149572	-0.0815595093209065	0.895408860597348	0.96800957902416
P1.tri-[1220].SDB58	2146	3521	1782	787	1614	631	-4.30733962942687	-3.9736297610997	13469.3353949177	18805.0512617502	3262.94786873617	4435.90679009848	0.481441572131309	0.299666222424966	0.470898720001557
LNT-2-[970].SDB54	1091	2927	2119	1332	1390	1040	-4.04594278028454	-4.18392243573783	17493.204630628	15238.6176877973	4241.2924535436	1781.33338906289	-0.199062564666026	0.657604399068156	0.832410631731843
GNLN-[1130].SDB55	180	0	0	1	237	0	-6.9989432260555	-7.47138354402444	912.846128017333	569.140321213363	985.486994853808	1564.40724094613	-0.681587303849798	0.809971387713345	0.900913697250312
H3-[810].SDB77	3828	11963	4445	271	595	183	-5.38664913689899	-3.02804122441972	4577.28552404953	48410.3703674863	19895.3765008403	1944.66729902167	3.40275193873532	7.69886843168853e-06	4.91818965723829e-05
Gala3-type1-[410].SDB112	975	618	538	485	206	239	-5.43672747490247	-5.1453925025599	4353.70760069655	5826.18712180297	2992.58379187819	1938.35280139044	0.420307519836161	0.477477419738987	0.674006457998548
Di-LN-[270].SDB149	1137	34	163	109	367	5	-6.26360070390853	-5.49188201552004	1904.37634128182	4120.08281324702	5798.70902115157	2101.17967376332	1.11335472469941	0.436986242923956	0.624266061319937
LNnT-[350].SDB88	646	867	399	81	59	135	-6.56274150986613	-5.32037956339021	1412.00936165451	4890.896967449	1399.09565121423	977.825098712246	1.79234941916997	0.0240881707628722	0.0721395135688887
