sequence	20180222-87YYrdRA1	20180130-87YYrdRA1	20180130-87YYrdRA2	20180222-87YYrfRA1	20180130-87YYrfRA1	20180130-87YYrfRA2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	114	88	104	220	88	104	-5.722003744	-6.113116652	3273.14578	2213.640902	396.1727841	917.3348121	-0.564256652	0.243635743	0.51860123488
bMan-[<8].SDB126	860	764	903	1318	529	577	-3.95628914	-4.006426159	19133.98625	18198.31706	1871.981574	5647.322012	-0.072332428	0.831826855	0.913716545388601
bMan-[80].SDB125	1072	784	763	1381	782	701	-3.767516042	-3.961837251	23109.39482	19028.12271	5097.061017	3122.382984	-0.280346245	0.436317353	0.660709134542857
bMan-[80].SDB89	958	1374	2173	804	1247	1224	-3.544211723	-3.445042353	28891.38796	31903.41081	11270.22175	11614.88498	0.143071158	0.762710001	0.874024433578378
bMan-[190].SDB88	283	656	579	382	383	293	-4.719628256	-4.530888873	8918.493325	10771.09768	3790.852963	1616.857216	0.272293373	0.488748855	0.701583298675676
bMan-[350].SDB87	218	1035	1034	194	315	269	-4.985481891	-4.132446976	6836.482796	16043.57251	9519.562222	2697.681996	1.230669241	0.053503991	0.276171284695652
aMan-[160].SDB54	80	565	691	81	764	655	-4.261864021	-4.675719284	14096.00267	9318.819848	6540.577029	10887.87782	-0.597066936	0.576574416	0.765310929159763
aMan-[160].SDB57	36	47	76	33	49	45	-6.802429129	-6.784231988	1111.072927	1131.476358	373.6875379	412.14164	0.026252926	0.956285214	0.984355339378641
aMan-[540].SDB53	1017	6024	6955	631	8366	7033	-1.887777502	-2.325156022	151407.939	97768.1889	64593.28912	121038.0776	-0.631003822	0.571432083	0.765310929159763
aMan-[1810].SDB49	133	522	1222	221	1438	1046	-3.68412001	-4.34040531	25119.26971	13031.24543	11034.81926	18558.34815	-0.946819548	0.349238198	0.592540206952381
aMan-[1860].SDB48	44	230	352	32	348	283	-5.078221241	-5.43397626	6230.98258	4365.702079	3109.266086	4903.709592	-0.513246001	0.627254867	0.78068351354386
(Man)3-[140].SDB18	577	359	312	531	164	150	-5.045032504	-4.696656977	6441.250996	9125.733702	3748.044166	3318.399957	0.502599644	0.307670565	0.564630379103448
(Man)3-[140].SDB17	676	407	399	709	274	217	-4.680987154	-4.526130202	9269.858594	10822.47593	4222.143625	3885.208602	0.223411356	0.604291042	0.765310929159763
(Man)3-[300].SDB15	6481	4187	4254	475	350	297	-4.682596256	-2.219374825	9254.954442	108677.0298	36151.8146	407.9843092	3.553677343	4.30E-05	0.00303866666666667
(Man)3-[300].SDB16	6679	4669	4693	1311	506	367	-4.087265203	-2.148974563	16785.07461	116603.6662	33296.38486	7566.743299	2.796362294	0.000712672	0.0219994822857143
(Man)3-[1160].SDB13	2409	4991	5461	787	6245	4917	-2.191617841	-2.396100523	111735.8315	91072.39651	30566.40348	84593.23239	-0.295006151	0.741076103	0.858514392546448
(Man)3-[1400].SDB12	3745	8413	9160	1590	3887	3401	-2.525359131	-1.892048467	80029.56655	150762.6599	55438.8828	42802.8669	0.913674154	0.270612803	0.531141701688073
Gal-[<8].SDB107	21	15	14	38	7	10	-7.774678254	-7.913799948	420.2426588	365.662439	108.3178721	286.5515399	-0.200710177	0.71614915	0.834195713186813
Gal-[<8].SDB132	962	683	655	1234	383	408	-4.162869662	-4.090648756	15562.83371	16728.37739	4882.474553	7227.780178	0.104192742	0.804416869	0.902308868931217
Gal-[110].SDB130	893	794	761	1014	689	628	-3.95508166	-4.03412454	19157.10411	17701.17001	2706.012477	409.4036816	-0.11403477	0.715241676	0.834195713186813
Gal-[110].SDB129	456	322	343	557	324	322	-4.626011347	-4.811088354	9793.745147	8138.996768	2118.62322	906.53068	-0.267009679	0.465859839	0.69064535572028
Gal-[380].SDB127	1829	1353	1298	1973	762	749	-3.603798122	-3.425076937	27220.14045	32546.77685	8649.340421	9476.874438	0.257840168	0.553767462	0.757410980283871
Gal-[510].SDB128	315	1088	1236	270	541	450	-4.490420657	-3.987769717	11215.92476	18541.01977	9777.123252	5253.295509	0.725172019	0.209798294	0.478249874494624
Lac-[80].SDB25	752	520	470	857	459	381	-4.30043921	-4.366704245	13562.60087	12693.00474	4186.911482	2683.957034	-0.095600237	0.817810301	0.902998874020833
Lac-[140].SDB24	364	199	172	467	204	140	-5.067747781	-5.222488524	6296.58547	5393.889587	2669.408798	2480.740098	-0.223243702	0.668013521	0.800106590124294
Lac-[320].SDB23	798	428	435	1000	434	386	-4.24717633	-4.409670106	14304.56832	12159.18891	5509.474963	4361.128785	-0.234428966	0.610082769	0.765310929159763
Lac-[490].SDB22	463	620	646	912	404	340	-4.342635516	-4.393061048	13002.21546	12362.82803	1398.677252	4042.000782	-0.072748664	0.85455781	0.92431763122449
Lac-[840].SDB21	432	2234	2245	749	612	520	-4.15657394	-3.369276851	15661.12206	34414.51518	21134.81303	1238.961237	1.135829606	0.057347265	0.276171284695652
Lac-[1190].SDB20	505	591	472	1097	143	157	-4.608129656	-4.482970969	9970.44905	11299.7919	1513.466419	9747.824829	0.180565817	0.780245682	0.884556602053476
LNT-NAc-[30].SDB71	88	73	77	200	92	67	-5.873196257	-6.363748854	2813.865109	1722.895705	278.5886564	956.8206205	-0.707717799	0.140587649	0.389269805772152
LNT-NAc-[80].SDB70	1307	763	811	1342	784	682	-3.785961531	-3.862145995	22687.03799	21022.83618	8063.429305	2891.342902	-0.109910948	0.77510402	0.883451893763441
LNT-NAc-[160].SDB68	216	39	44	349	43	43	-5.778714727	-6.099225241	3092.687802	2244.606075	2396.263417	3179.25976	-0.462398928	0.645542138	0.787613290091954
LNT-NAc-[220].SDB69	149	141	132	366	60	65	-5.633577124	-5.792636609	3575.761482	3049.930092	386.6879887	3045.98552	-0.229474331	0.714352817	0.834195713186813
LNT-NAc-[1030].SDB67	121	53	77	273	56	56	-5.861057927	-6.300421011	2848.228869	1835.531835	871.8445218	2115.662291	-0.633866942	0.308948698	0.564630379103448
