sequence	20180222-87YYrdRB1	20180130-87YYrdRB1	20180130-87YYrdRB2	20180222-87YYrfRB1	20180130-87YYrfRB1	20180130-87YYrfRB2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
bMan-[<8].SDB99	45	26	135	200	135	271	-5.370269425	-6.156273421	4652.877538	2120.139435	1548.733252	1103.532002	-1.133964067	0.104472156	0.334049441294118
bMan-[<8].SDB126	257	383	389	756	1030	956	-3.838592671	-4.56465671	21523.87121	10413.45343	1592.40739	4162.064341	-1.047488988	0.014631491	0.172326449555556
bMan-[80].SDB125	295	450	378	969	966	1191	-3.71329998	-4.47353189	24396.88106	11406.95651	1938.094499	2297.574974	-1.096782806	0.006817303	0.110241877714286
bMan-[80].SDB89	1384	1737	1035	731	3430	3378	-2.874057089	-3.124663833	56469.35996	43951.70625	18271.40378	33632.28618	-0.361549106	0.586372407	0.765310929159763
bMan-[190].SDB88	105	826	754	238	471	425	-4.735256757	-4.214158933	8780.194169	14784.75151	8622.632482	2770.579991	0.751785247	0.205361836	0.478249874494624
bMan-[350].SDB87	127	1346	958	103	460	343	-4.970237985	-3.866363816	6941.495866	20934.35236	13210.32159	4410.990492	1.59255379	0.024438639	0.206634855428571
aMan-[160].SDB54	153	555	461	75	357	577	-4.923718565	-4.529341408	7272.038958	10787.77848	3200.551046	4578.812614	0.568965969	0.344825917	0.592540206952381
aMan-[160].SDB57	12	67	47	24	106	132	-6.246857367	-6.777302398	1936.530387	1139.344254	505.645544	1103.191372	-0.765270415	0.236966766	0.512621983591837
aMan-[540].SDB53	1285	4442	3747	504	3729	3489	-2.854476792	-2.433870408	57585.94267	87696.75263	24460.13625	40574.79081	0.606806744	0.369606781	0.599908296274809
aMan-[1810].SDB49	123	925	509	147	197	200	-5.461589433	-4.299026135	4246.800371	13581.77939	7698.748428	650.585279	1.677224305	0.007280124	0.110241877714286
aMan-[1860].SDB48	24	319	228	20	324	449	-5.167698756	-5.319104631	5697.665461	4897.136505	3296.83115	4448.337302	-0.218432505	0.814749514	0.902998874020833
(Man)3-[140].SDB18	445	223	190	423	189	345	-4.878312191	-4.579679409	7609.847166	10258.18445	8920.488824	3599.343185	0.430836033	0.489784567	0.701583298675676
(Man)3-[140].SDB17	438	391	284	491	350	298	-4.678236746	-4.398652317	9295.38958	12293.89702	6910.701319	4020.161871	0.403355069	0.477409241	0.698005235117241
(Man)3-[300].SDB15	5848	4282	3705	333	503	659	-4.476639652	-1.85514582	11371.56143	156430.1304	98825.08206	1910.109069	3.782016151	2.53E-05	0.0026818
(Man)3-[300].SDB16	5723	5120	4254	920	657	912	-3.931174121	-1.796537594	19620.62205	165872.2121	85626.77814	4969.222394	3.079629532	8.39E-05	0.0044467
(Man)3-[1160].SDB13	2576	3820	3369	628	2680	2313	-3.155322867	-2.308393316	42624.63669	99420.86126	17286.1787	25154.47983	1.221861064	0.058375954	0.276171284695652
(Man)3-[1400].SDB12	3398	14040	12590	1081	1349	1681	-3.452068891	-1.295615569	31680.02602	273729.3131	101623.0557	2159.994952	3.111104513	8.19E-06	0.00173628
Gal-[<8].SDB107	7	13	22	15	45	51	-7.084850267	-7.792851077	837.7002089	412.6746381	168.6738802	374.429786	-1.021429257	0.086243859	0.30462300504918
