Barcode	SDB	Type	Reference	Test.CPM	Test_SD	Control.CPM	Control_SD	logFC	F	PValue	QValue
aMan-[1030]	SDB28	CTb PBS	Streptavidin	34078.8665921174	748.641981791669	37799.4562303896	4000.83830810178	-0.149488125832677	0.99976753253731	0.340002475586597	0.440047451810087
aMan-[1030]	SDB28	CTb HEPES	Streptavidin	23718.2259270111	355.764887913848	37798.0927785994	4000.83830810178	-0.67231733718606	12.6801062900693	0.000587018327570777	0.0017127467412913
aMan-[1030]	SDB28	LCA PBS	Streptavidin	32911.8393357779	7417.05090103008	37798.8490747206	4000.83830810178	-0.199735650692871	1.05364014803114	0.317620626137746	0.416610014104443
aMan-[1030]	SDB28	LCA HEPES	Streptavidin	24986.7922769203	7572.24295687446	37799.6715254694	4000.83830810178	-0.597207992839708	6.58140709663352	0.0331145018169388	0.0627941120353621
aMan-[1030]	SDB28	PSA PBS	Streptavidin	70321.6434928181	26809.653575787	37797.6677928843	4000.83830810178	0.895671568783169	22.2198014995004	0.000161592889898771	0.000529590143365719
aMan-[1030]	SDB28	PSA HEPES	Streptavidin	68370.1077855253	15839.1912631561	37798.1921508124	4000.83830810178	0.855048466279812	14.578963415507	0.000168102574844285	0.000547855188211179
aMan-[1030]	SDB28	SBA PBS	Streptavidin	47359.5015507146	1404.69805327738	37798.3598661795	4000.83830810178	0.325330262107289	3.04564478467631	0.0892622669485701	0.147094158211024
aMan-[1030]	SDB28	SBA HEPES	Streptavidin	26360.9621696617	789.679627535594	37795.8540306221	4000.83830810178	-0.519824959103203	15.1651136909616	0.000556058447919873	0.00162647096016563
aMan-[1030]	SDB28	ACG PBS	Streptavidin	15773.5278042706	1008.22133539283	37795.9214210994	4000.83830810178	-1.26072520084918	52.9866094742926	1.90339856465986e-07	1.36624314150431e-06
aMan-[1030]	SDB28	ACG HEPES	Streptavidin	33587.2492309067	1045.6772174043	37795.6095257265	4000.83830810178	-0.170305010691807	1.29913395514311	0.258777528815449	0.348813028472437
aMan-[1030]	SDB28	NPL PBS	Streptavidin	34033.3482717949	3549.9999528302	37796.6722510784	4000.83830810178	-0.151310126575269	0.722053310602178	0.396252976307409	0.497975901777314
aMan-[1030]	SDB28	NPL HEPES	Streptavidin	31893.4650820691	1432.61654522961	37796.2764131133	4000.83830810178	-0.244983262578058	2.48575421749246	0.120911875348401	0.187125521372526
aMan-[1030]	SDB28	MAL PBS	Streptavidin	28926.3569094894	1111.96715994762	37798.493241419	4000.83830810178	-0.385944089093253	3.91839656491495	0.064953241264622	0.112353568470663
aMan-[1030]	SDB28	MAL HEPES	Streptavidin	32451.6182335786	3366.94370593993	37795.8617843712	4000.83830810178	-0.219937862944957	2.06883344993177	0.166479850706325	0.239289220302703
aMan-[1030]	SDB28	UEA PBS	Streptavidin	65822.5019000492	12746.2056201938	37798.017761771	4000.83830810178	0.800270286755677	15.6671578002509	0.000762755974214032	0.00217664509714736
