sequence	20180130-87MKcaJT1	20180130-87MKcaJT2	20180130-87MKooOO1	20180130-87MKooOO2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
Gal-[<8].SDB107	7	2	40	22	-7.78836720139349	-7.70765269046891	414.529174363769	449.375062472141	596.26886853969	139.274467798095	0.116446424638678	0.928726393634681	0.95007642567226
Gal-[<8].SDB132	56	260	10614	10427	-1.95493958612447	-4.44544686920981	141573.029411158	11731.8622513741	5518.52782737502	9108.24175578643	-3.59304250660507	0.000868388752715045	0.00406771573640205
Gal-[110].SDB130	514	1046	8007	7052	-2.2923952749417	-2.71050826352961	101024.191103731	66502.9970756182	5869.2694394408	1298.67848488248	-0.60320953516704	0.0675775603963695	0.111377831023646
Gal-[110].SDB129	146	414	3774	3630	-2.99993188177407	-3.79760395507452	49790.4598901466	22424.4374975197	3261.60112212931	2460.61254342467	-1.15079754440619	0.00379921811765641	0.0135252164988568
Gal-[380].SDB127	1266	1646	8035	8130	-2.21775718160337	-1.99508147786383	108852.972701242	136002.572516316	53685.3725842555	9269.58960595254	0.321253133511487	0.458282549248355	0.522912139526969
Gal-[510].SDB128	58	756	3053	2354	-3.32020907150118	-3.61928492878243	36145.2740173211	26801.8348627106	26238.7613087886	3856.37231170494	-0.431475256149285	0.616501022812766	0.680871145383933
Lac-[80].SDB25	207	712	2130	1862	-3.62019926686469	-3.33706789745546	26777.3401243639	35541.0149942515	9896.31966786432	485.528377751109	0.408472222566793	0.179446009781304	0.249542107352126
Lac-[140].SDB24	97	218	774	692	-4.62115998608945	-4.33001851573138	9841.37358105395	13167.3036855647	238.859163568451	21.9965757105583	0.420028355482713	0.258706387039218	0.319789839534589
Lac-[320].SDB23	282	488	1715	1701	-3.77259046146847	-3.38477743815396	22992.4250840951	33885.1830554002	6841.19229403035	1634.46057675543	0.559495925527994	0.0613751820604971	0.107105709870279
Lac-[490].SDB22	179	339	1099	1065	-4.22966370255398	-3.79954786620549	14557.2853031917	22380.8887250478	3109.45630522191	796.166792782027	0.620525984107767	0.0501639569869519	0.102837491204591
